Code,Label,Year,Total number of businesses,Technicians and trades workers (no.),Total persons employed aged 15 years and over (no.),Labourers (no.),"Electricity, gas, water and waste services (no.)","Electricity, gas, water and waste services (%)",lat,lng
AUS,Australia,2011,,,10058325,,,1.1,-25.274398,133.775136
AUS,Australia,2016,,4534,10683844,3862,,1.1,-25.274398,133.775136
AUS,Australia,2017,,4742,,3853,,,-25.274398,133.775136
AUS,Australia,2018,,4811,,4119,,,-25.274398,133.775136
AUS,Australia,2019,,4113,,3760,,,-25.274398,133.775136
AUS,Australia,2020,2314448,3090,,2717,7604,,-25.274398,133.775136
AUS,Australia,2021,2402254,1387,12049410,1305,7961,1.1,-25.274398,133.775136
AUS,Australia,2022,2539724,,,,8307,,-25.274398,133.775136
AUS,Australia,2023,2589873,,,,8582,,-25.274398,133.775136
AUS,Australia,2024,2662998,,,,8767,,-25.274398,133.775136
1,NSW,2011,,,3138332,,,1.1,-31.2532183,146.921099
1,NSW,2016,,1295,3380336,1160,,0.9,-31.2532183,146.921099
1,NSW,2017,,1241,,1090,,,-31.2532183,146.921099
1,NSW,2018,,1235,,1205,,,-31.2532183,146.921099
1,NSW,2019,,1097,,1125,,,-31.2532183,146.921099
1,NSW,2020,786246,860,,784,2466,,-31.2532183,146.921099
1,NSW,2021,817603,398,3684158,413,2606,1.0,-31.2532183,146.921099
1,NSW,2022,854727,,,,2739,,-31.2532183,146.921099
1,NSW,2023,870951,,,,2787,,-31.2532183,146.921099
1,NSW,2024,896560,,,,2835,,-31.2532183,146.921099
2,VIC,2011,,,2530628,,,1.1,-36.9847807,143.3906074
2,VIC,2016,,869,2736127,703,,1.1,-36.9847807,143.3906074
2,VIC,2017,,877,,727,,,-36.9847807,143.3906074
2,VIC,2018,,877,,733,,,-36.9847807,143.3906074
2,VIC,2019,,685,,617,,,-36.9847807,143.3906074
2,VIC,2020,630992,569,,459,2129,,-36.9847807,143.3906074
2,VIC,2021,655507,242,3162893,214,2234,1.1,-36.9847807,143.3906074
2,VIC,2022,713211,,,,2320,,-36.9847807,143.3906074
2,VIC,2023,719367,,,,2426,,-36.9847807,143.3906074
2,VIC,2024,737915,,,,2489,,-36.9847807,143.3906074
3,QLD,2011,,,2039276,,,1.2,-22.575197,144.0847926
3,QLD,2016,,1356,2136450,1206,,1.1,-22.575197,144.0847926
3,QLD,2017,,1468,,1178,,,-22.575197,144.0847926
3,QLD,2018,,1443,,1185,,,-22.575197,144.0847926
3,QLD,2019,,1290,,1148,,,-22.575197,144.0847926
3,QLD,2020,443911,904,,837,1400,,-22.575197,144.0847926
3,QLD,2021,460813,439,2444090,377,1451,1.2,-22.575197,144.0847926
3,QLD,2022,482302,,,,1530,,-22.575197,144.0847926
3,QLD,2023,497025,,,,1601,,-22.575197,144.0847926
3,QLD,2024,510444,,,,1632,,-22.575197,144.0847926
4,SA,2011,,,739359,,,1.3,-30.0002315,136.2091547
4,SA,2016,,251,746105,251,,1.2,-30.0002315,136.2091547
4,SA,2017,,259,,266,,,-30.0002315,136.2091547
4,SA,2018,,272,,256,,,-30.0002315,136.2091547
4,SA,2019,,218,,250,,,-30.0002315,136.2091547
4,SA,2020,145383,153,,175,581,,-30.0002315,136.2091547
4,SA,2021,149462,73,839414,73,599,1.3,-30.0002315,136.2091547
4,SA,2022,156131,,,,617,,-30.0002315,136.2091547
4,SA,2023,159604,,,,616,,-30.0002315,136.2091547
4,SA,2024,164454,,,,639,,-30.0002315,136.2091547
5,WA,2011,,,1097879,,,1.1,-27.6728168,121.6283098
5,WA,2016,,542,1157735,377,,1.2,-27.6728168,121.6283098
5,WA,2017,,675,,388,,,-27.6728168,121.6283098
5,WA,2018,,739,,532,,,-27.6728168,121.6283098
5,WA,2019,,614,,419,,,-27.6728168,121.6283098
5,WA,2020,222944,476,,337,771,,-27.6728168,121.6283098
5,WA,2021,230280,184,1306249,167,791,1.2,-27.6728168,121.6283098
5,WA,2022,239858,,,,785,,-27.6728168,121.6283098
5,WA,2023,246673,,,,826,,-27.6728168,121.6283098
5,WA,2024,255396,,,,859,,-27.6728168,121.6283098
6,TAS,2011,,,217297,,,1.7,-42.0409059,146.8087322
6,TAS,2016,,100,216584,101,,1.6,-42.0409059,146.8087322
6,TAS,2017,,96,,124,,,-42.0409059,146.8087322
6,TAS,2018,,103,,149,,,-42.0409059,146.8087322
6,TAS,2019,,99,,114,,,-42.0409059,146.8087322
6,TAS,2020,39285,44,,73,118,,-42.0409059,146.8087322
6,TAS,2021,40723,26,254722,31,121,1.8,-42.0409059,146.8087322
6,TAS,2022,42413,,,,127,,-42.0409059,146.8087322
6,TAS,2023,43423,,,,137,,-42.0409059,146.8087322
6,TAS,2024,44029,,,,136,,-42.0409059,146.8087322
7,NT,2011,,,98479,,,1.3,-19.4914108,132.5509603
7,NT,2016,,47,102708,20,,1.6,-19.4914108,132.5509603
7,NT,2017,,39,,29,,,-19.4914108,132.5509603
7,NT,2018,,58,,22,,,-19.4914108,132.5509603
7,NT,2019,,46,,28,,,-19.4914108,132.5509603
7,NT,2020,14547,27,,21,54,,-19.4914108,132.5509603
7,NT,2021,14943,5,107035,3,58,1.5,-19.4914108,132.5509603
7,NT,2022,15731,,,,63,,-19.4914108,132.5509603
7,NT,2023,16105,,,,58,,-19.4914108,132.5509603
7,NT,2024,16380,,,,58,,-19.4914108,132.5509603
8,ACT,2011,,,195885,,,0.8,-35.4734679,149.0123679
8,ACT,2016,,55,205628,37,,0.7,-35.4734679,149.0123679
8,ACT,2017,,58,,31,,,-35.4734679,149.0123679
8,ACT,2018,,56,,26,,,-35.4734679,149.0123679
8,ACT,2019,,54,,41,,,-35.4734679,149.0123679
8,ACT,2020,29724,48,,25,82,,-35.4734679,149.0123679
8,ACT,2021,31490,13,248603,17,97,0.8,-35.4734679,149.0123679
8,ACT,2022,33813,,,,120,,-35.4734679,149.0123679
8,ACT,2023,35086,,,,127,,-35.4734679,149.0123679
8,ACT,2024,36316,,,,112,,-35.4734679,149.0123679
9,Other Territories,2011,,,1182,,,2.6,-25.274398,133.775136
9,Other Territories,2016,,,2168,,,2.0,-25.274398,133.775136
9,Other Territories,2017,,,,,,,-25.274398,133.775136
9,Other Territories,2018,,,,,,,-25.274398,133.775136
9,Other Territories,2019,,,,,,,-25.274398,133.775136
9,Other Territories,2020,1416,,,,3,,-25.274398,133.775136
9,Other Territories,2021,1433,,2251,,4,2.2,-25.274398,133.775136
9,Other Territories,2022,1538,,,,6,,-25.274398,133.775136
9,Other Territories,2023,1639,,,,4,,-25.274398,133.775136
9,Other Territories,2024,1504,,,,7,,-25.274398,133.775136
1GSYD,Greater Sydney,2011,,,2063271,,,0.9,-33.8817547,150.8609358
