facility_code,facility_name,lat,lng
ADP,Adelaide Desalination,-35.096948,138.484061
ALDGASF,Aldoga,-23.839544,151.0849
AMCORGR,Amcor Glass,-34.882663,138.577975
ANGASTON,Angaston,-34.503948,139.024296
APS,Anglesea,-38.389031,144.180589
APPIN,Appin,-34.210868,150.792711
ARWF,Ararat,-37.263393,143.082116
AVLSF,Avonlie,-34.919115,146.60954
AWABAREF,Awaba,-33.023339,151.551228
DEIBDL,Bairnsdale,-37.842231,147.563725
BAKING,Baking Board,-26.721166,150.55417
BHWF,Bald Hills,-38.758189,145.956062
BALBESS,Ballarat,-37.567452,143.852741
BBASEHOS,Ballarat Hospital,-37.558774,143.847247
BANGOWF,Bango,-34.767208,148.921499
BAPS,Banimboola,-36.534524,147.459788
BANKSPT,Bankstown Sports Club,-33.919998,151.033742
BANNSP,Bannerton,-34.67263,142.750362
BARCALDN,Barcaldine,-23.552171,145.314851
BARCSF,Barcaldine,-23.547333,145.318972
BARKIPS,Barker Inlet,-34.804,138.524
BARRON,Barron Gorge,-16.85077,145.647049
BASTYAN,Bastyan,-41.736231,145.531589
BAYSW,Bayswater,-32.393502,150.953963
BBDISEL1,Bell Bay,-41.127009,146.874083
BELLBAY,Bell Bay,-41.141944,146.9025
BBP31,Bell Bay Three,-41.139324,146.905522
BRYB1WF1,Berrybank,-37.980741,143.472217
BERWICK,Berwick,-37.940819,145.236257
BERYLSF,Beryl,-32.347501,149.460738
BIALAWF,Biala,-34.587836,149.369848
BLAYNEY,Blayney,-33.621944,149.198333
SNOWY6,Blowering,-35.397402,148.247225
BLUEGSF,Blue Grass,-26.691708,150.500037
BLULAKE,Blue Lake Milling,-36.316597,140.757571
BLYTHB,Blyth,-33.848475,138.403204
BOCOROCK,Boco Rock,-36.574527,149.124863
BODWF,Bodangora,-32.407128,149.04133
MCKAY,Bogong / Mackay,-36.805471,147.227845
BOLIVAR,Bolivar,-34.495482,138.387641
BOLIVPS,Bolivar,-34.7772,138.5826
BOMENSF,Bomen,-35.0486,147.4439
0BCWF,Boulder Creek,-23.669964,150.260813
BBATTERY,Bouldercombe,-23.563443,150.459658
BRAEMARA,Braemar,-27.111669,150.907647
B2PS,Braemar 2,-27.109873,150.907653
BRNDBES,Brendale,-27.329333,152.974384
BROADMDW,Broadmeadows,-37.685081,144.966114
0BSSF,Broadsound,-22.810001,149.36302
BWTR1,Broadwater,-29.016483,153.445756
BHILLGT,Broken Hill,-31.986313,141.42062
BROKENH,Broken Hill,-31.988905,141.391547
BHB,Broken Hill Battery,-31.9863,141.4204
BROOKLYN,Brooklyn,-37.818597,144.828492
BROWNMT,Brown Mountain,-36.594993,149.473997
BPLANDF,Browns Plains,-27.674584,153.068499
0WELLINGTONBESS,Bulabul,-32.530355,148.969343
BULGANA,Bulgana Green Power Hub,-37.039507,142.982799
0BUNDSF,Bundaberg,-24.943515,152.020698
BNGSF1,Bungala One,-32.423316,137.841798
BNGSF2,Bungala Two,-32.406993,137.840933
0BUNGAMA,Bungama,-33.191223,138.08733
BDONGHYD,Burrendong,-32.664647,149.108016
BURRIN,Burrinjuck,-35.003532,148.579891
BUTLERSG,Butlers Gorge,-42.267107,146.262127
0CALBESS1,Calala 1,-31.141287,150.963101
0CALBESS2,Calala 2,-31.141287,150.963101
CALL_A,Callide A,-24.333169,150.626322
CALL_B,Callide B,-24.333169,150.626322
CALLIDEC1,Callide C,-24.347222,150.608611
CANUNDA1,Canunda,-37.698303,140.383633
CAPBES,Capital,-35.339434,149.216065
CAPTL_WF,Capital,-35.123534,149.500249
CESF,Capital East,-35.180684,149.546482
LI_WY_CA,Catagunya / Liapootah / Wayatinah,-42.376131,146.509824
CATHROCK,Cathedral Rocks,-34.848741,135.592649
CTHLWF,Cattle Hill,-42.154845,146.694693
CETHANA,Cethana,-41.479852,146.134472
CHALLWF,Challicum Hills,-37.395466,143.10459
CHPSTWF,Chepstowe,-37.596503,143.499582
CHYTWF,Cherry Tree,-37.1018,145.2656
CHILDSF,Childers,-25.295027,152.403674
CHBESS,Chinchilla,-26.918551,150.745399
CBWWBA,Christies Beach,-35.125958,138.47135
CLARESF,Clare,-19.83977,147.21055
CLRKCWF,Clarke Creek,-22.850446,149.453252
CLAYTON,Clayton,-37.950618,145.119681
CLEMGPWF,Clements Gap,-33.489773,138.111695
CLERMSF,Clermont,-22.839406,147.546031
CLOVER,Clover,-36.78515,147.219517
CLUNY,Cluny,-42.506229,146.681123
CODRGTON,Codrington,-38.282875,141.95496
COHUNSF1,Cohuna,-35.880317,144.221531
COLEASF,Coleambally,-34.759494,145.92984
COLWF01,Collector,-34.823879,149.396795
COLNSV,Collinsville,-20.543333,147.806944
CSPVPS,Collinsville,-20.55714,147.820552
COLONGRA,Colongra,-33.208781,151.54354
COLUMSF,Columboola,-26.636088,150.28221
CPSA,Condamine A,-26.666673,150.268581
CONDONG1,Condong,-28.314766,153.433808
CBWF,Coonoer Bridge,-36.472722,143.322039
COOPGWF,Coopers Gap,-26.717004,151.449177
COPTNHYD,Copeton,-29.907544,150.930235
CORIO,Corio,-38.059048,144.404905
CRWASF1,Corowa,-35.98629,146.361456
CROOKWEL,Crookwell,-34.5165,149.54248
CROOKWF2,Crookwell 2,-34.547676,149.589254
CROOKWF3,Crookwell 3,-34.484645,149.54447
CROWLWF,Crowlands,-36.97615,143.097998
CRURWF1,Crudine Ridge,-32.864748,149.81297
CULCSF,Culcairn,-35.709592,146.981761
CULLERIN,Cullerin Range,-34.750995,149.381027
DAANDINE,Daandine,-27.086294,150.942528
DALNTH,Dalrymple North,-34.888446,137.758114
DDPS1,Darling Downs,-27.116851,150.895391
DDSF,Darling Downs,-27.112,150.8819
DARLSF,Darlington Point,-34.644808,146.035756
DPNTB,Darlington Point,-34.646668,146.034982
DARTM,Dartmouth,-36.55529,147.519872
DAYDSF,Daydream,-20.512804,147.691968
DEVILS_G,Devils Gate,-41.349925,146.262709
DIAPURWF,Diapur 2,-36.339953,141.447361
DRYCGT,Dry Creek,-34.847293,138.582297
DULAWF,Dulacca,-26.637485,149.870186
DUNDWF,Dundonnell,-37.863894,142.943454
PMATTAEP,Earthpower,-33.824397,151.042142
EASTCRK,Eastern Creek,-33.815468,150.854307
EASTCRK2,Eastern Creek 2,-33.815468,150.854307
EDENVSF,Edenvale,-26.947486,150.578494
EILDON,Eildon,-37.221262,145.920966
EILDONPD,Eildon,-37.221774,145.922582
ELAINEWF,Elaine,-37.6352,144.0237
EMERASF,Emerald,-23.50879,148.128017
ENERGYB,Energy Brix,-38.254444,146.413611
ERARING,Eraring,-33.061548,151.524612
ERB,Eraring,-33.066837,151.515026
ERGT01,Eraring,-33.062117,151.517224
0ERB2,Eraring 2,-33.066837,151.515026
FWF,Ferguson,-38.610902,143.179321
FINLEYSF,Finley,-35.64421,145.508644
FISHER,Fisher,-41.672662,146.268739
FLYCRKWF,Flyers Creek,-33.521475,149.045234
0FULHAMSF,Fulham,-38.121256,146.973124
GANGARR,Gangarri,-26.254813,149.986704
GANNBESS,Gannawarra,-33.735056,143.779462
GANNSF,Gannawarra,-35.73,143.7711
GEORGTWN,George Town,-41.091063,146.893204
GERMCRK,German Creek,-22.928526,148.549097
GIRGSF,Girgarre,-26.2548,149.9867
GSTONE,Gladstone,-23.848741,151.220787
GLBWNHYD,Glenbawn,-32.107937,150.999481
0GLENELLEN,Glenellen,-35.929882,146.909107
GLENMAGG,Glenmaggie,-37.904836,146.800388
GLENNCRK,Glennies Creek,-32.464343,151.130432
GLENSF,Glenrowan,-36.464,146.221
GLRWNSF,Glenrowan West,-36.488083,146.146887
0GNARWARREBESS,Gnarwarre,-38.148311,144.139484
GPWFEST,Golden Plains East,-37.9729,143.783
0GPWFWST,Golden Plains West,-37.90844,143.664887
GOONUMSF,Goonumbla,-33.106413,148.099274
GOESF1,Goorambat East,-36.427352,145.918853
GORDON,Gordon,-42.740157,145.983375
0GRIVSF,Goulburn River,-32.282141,150.102488
GSWF,Goyder South,-33.682196,138.936249
GRANGEAV,Grange Avenue,-33.713011,150.83316
GRANWF,Granville Harbour,-41.802,145.056
GREENB,Greenbank,-27.733562,152.955042
GRIFSF,Griffith,-34.317414,146.120739
GROSV1,Grosvenor 1,-21.929194,148.032416
GROSV2,Grosvenor 2,-21.929194,148.032416
GULLRGWF,Gullen Range,-34.624512,149.458549
GNNDHSF,Gunnedah,-30.965469,150.367917
GUNNING,Gunning,-34.676361,149.66443
0GUNSYNDSF,Gunsynd,-28.408388,150.343437
SNOWY3,Guthega,-36.349772,148.41403
HLMSEW01,Hallam,-38.143332,145.119964
HALAMRD,Hallam Road,-38.052181,145.267798
AGLHAL,Hallett,-33.34931,138.752633
HALLWF,Hallett 1,-33.328434,138.704669
HALLWF2,Hallett 2,-33.53821,138.857215
HAMISF,Hamilton,-20.468593,147.799484
HAMPTON,Hampton,-33.649722,150.05
HVWW,Happy Valley,-35.063118,138.56476
HASTING,Hastings,-38.295952,145.221926
HAUGHT1,Haughton,-19.732168,147.076137
