facility_code,facility_name,lat,lng
ADP,Adelaide Desalination,-35.096948,138.484061
ALDGASF,Aldoga,-23.839544,151.0849
AMCORGR,Amcor Glass,-34.882663,138.577975
ANGASTON,Angaston,-34.503389,139.02458
APS,Anglesea,-38.389031,144.180589
APPIN,Appin,-34.210868,150.792711
ARWF,Ararat,-37.263393,143.082116
AVLSF,Avonlie,-34.913826,146.590545
AWABAREF,Awaba,-33.023339,151.551228
DEIBDL,Bairnsdale,-37.842918,147.563855
BAKING,Baking Board,-26.720639,150.553781
BHWF,Bald Hills,-38.746897,145.949104
BALBESS,Ballarat,-37.567603,143.919894
BBASEHOS,Ballarat Hospital,-37.558774,143.847247
BANGOWF,Bango,-34.767208,148.921499
BAPS,Banimboola,-36.534342,147.45934
BANKSPT,Bankstown Sports Club,-33.919998,151.033742
BANNSP,Bannerton,-34.687324,142.77895
BARCALDN,Barcaldine,-23.552279,145.314856
BARCSF,Barcaldine,-23.547776,145.318817
BARKIPS,Barker Inlet,-34.803695,138.523864
BARRON,Barron Gorge,-16.850852,145.646758
BASTYAN,Bastyan,-41.736045,145.532064
BAYSW,Bayswater,-32.394981,150.94949
BBDISEL1,Bell Bay,-41.127009,146.874083
BELLBAY,Bell Bay,-41.141944,146.9025
BBP31,Bell Bay Three,-41.139324,146.905522
BHBBESS,Bellambi,-32.322372,149.465006
BCBESS,Bennetts Creek,-38.259575,146.425208
BRYB1WF1,Berrybank,-37.885519,143.453446
BERWICK,Berwick,-37.940819,145.236257
BERYLSF,Beryl,-32.356446,149.470517
BIALAWF,Biala,-34.587836,149.369848
BLAYNEY,Blayney,-33.621944,149.198333
BLINDCREEK,Blind Creek,-35.18531,149.472248
SNOWY6,Blowering,-35.398563,148.246201
BLUEGSF,Blue Grass,-26.682643,150.504537
BLULAKE,Blue Lake Milling,-36.316597,140.757571
BLYTHB,Blyth,-33.848475,138.403204
BOCOROCK,Boco Rock,-36.574527,149.124863
BODWF,Bodangora,-32.414669,149.099633
BOGGABRI,Boggabri,,
MCKAY,Bogong / Mackay,-36.858282,147.234146
BOLIVAR,Bolivar,-34.495482,138.387641
BOLIVPS,Bolivar,-34.7772,138.5826
BOMENSF,Bomen,-35.046577,147.442585
BCWF,Boulder Creek,-23.669964,150.260813
BBATTERY,Bouldercombe,-23.535251,150.489057
BRAEMARA,Braemar,-27.110488,150.905683
B2PS,Braemar 2,-27.112874,150.905442
BRNDBES,Brendale,-27.329333,152.974384
BROADMDW,Broadmeadows,-37.685081,144.966114
BRDD,Broadsound,-22.810001,149.36302
BWTR1,Broadwater,-29.016483,153.445756
BHILLGT,Broken Hill,-31.986313,141.42062
BROKENH,Broken Hill,-31.987538,141.391994
BHB,Broken Hill Battery,-31.986306,141.422951
BROOKLYN,Brooklyn,-37.818597,144.828492
BROWNMT,Brown Mountain,-36.594993,149.473997
BPLANDF,Browns Plains,-27.674584,153.068499
WELLINGTONBESS,Bulabul,-32.530355,148.969343
BULGANA,Bulgana Green Power Hub,-37.039507,142.982799
BUSF,Bundaberg,-24.943515,152.020698
BNGSF1,Bungala One,-32.415846,137.841225
BNGSF2,Bungala Two,-32.415846,137.841225
BUNGAMB,Bungama,-33.191223,138.08733
BDONGHYD,Burrendong,-32.664624,149.107959
BURRIN,Burrinjuck,-35.003008,148.582864
BUTLERSG,Butlers Gorge,-42.266898,146.261823
CALBESS1,Calala 1,-31.141287,150.963101
CALBESS2,Calala 2,-31.141287,150.963101
CALL_A,Callide A,-24.333169,150.626322
CALL_B,Callide B,-24.346016,150.61856
CALLIDEC1,Callide C,-24.346016,150.61856
CANUNDA1,Canunda,-37.698303,140.383633
CAPBES,Capital,-35.338251,149.215529
CAPTL_WF,Capital,-35.123534,149.500249
CESF,Capital East,-35.180684,149.546482
CARAG,Carag,-34.937138,150.589412
CHWF1,Carmody's Hill,-33.360857,138.478203
CRWARP,Carwarp,-34.454955,142.15808
LI_WY_CA,Catagunya / Liapootah / Wayatinah,-42.376279,146.510051
CATHROCK,Cathedral Rocks,-34.848741,135.592649
CTHLWF,Cattle Hill,-42.149661,146.724045
CETHANA,Cethana,-41.480804,146.134511
CHALLWF,Challicum Hills,-37.395466,143.10459
CHPSTWF,Chepstowe,-37.596503,143.499582
CHYTWF,Cherry Tree,-37.1018,145.2656
CHILDSF,Childers,-25.305189,152.402663
CHBESS,Chinchilla,-26.918551,150.745399
CBWWBA,Christies Beach,-35.125958,138.47135
CLARESF,Clare,-19.839817,147.204884
CLRKCWF,Clarke Creek,-22.850446,149.453252
CLAYTON,Clayton,-37.950618,145.119681
CLEMGPWF,Clements Gap,-33.489773,138.111695
CLERMSF,Clermont,-22.837763,147.579322
CLOVER,Clover,-36.785257,147.220466
CLUNY,Cluny,-42.506442,146.68104
CODRGTON,Codrington,-38.282875,141.95496
COHUNSF1,Cohuna,-35.886553,144.217421
COLEASF,Coleambally,-34.762456,145.928786
COLWF01,Collector,-34.862066,149.388245
COLNSV,Collinsville,-20.543333,147.806944
CSPVPS,Collinsville,-20.541215,147.807432
COLONGRA,Colongra,-33.209801,151.544968
COLUMSF,Columboola,-26.633781,150.298894
CPSA,Condamine A,-26.668181,150.270023
CONDONG1,Condong,-28.314766,153.433808
CBWF,Coonoer Bridge,-36.415237,143.380189
COOPGWF,Coopers Gap,-26.717004,151.449177
COPTNHYD,Copeton,-29.910174,150.92348
CORIO,Corio,-38.059048,144.404905
CRWASF1,Corowa,-35.979325,146.359356
CROOKWEL,Crookwell,-34.5165,149.54248
CROOKWF2,Crookwell 2,-34.556855,149.609565
CROOKWF3,Crookwell 3,-34.484645,149.54447
CROWLWF,Crowlands,-36.97615,143.097998
CRURWF1,Crudine Ridge,-32.864748,149.81297
CULCSF,Culcairn,-35.709592,146.981761
CULLERIN,Cullerin Range,-34.809208,149.399185
DAANDINE,Daandine,-27.08615,150.942623
DALNTH,Dalrymple North,-34.933952,137.743532
DDPS1,Darling Downs,-27.116855,150.894761
DDSF,Darling Downs,-27.113797,150.879733
DARLSF,Darlington Point,-34.648971,146.061179
DPNTB,Darlington Point,-34.647016,146.035236
DARTM,Dartmouth,-36.556485,147.520456
DAYDSF,Daydream,-20.479752,147.763711
DELBURNWF,Delburn,-38.326518,146.25402
DEVILS_G,Devils Gate,-41.350513,146.263394
DIAPURWF,Diapur 2,-36.339953,141.447361
DRYCGT,Dry Creek,-34.847703,138.5816
DULAWF,Dulacca,-26.631438,149.867554
DUNDWF,Dundonnell,-37.863894,142.943454
PMATTAEP,Earthpower,-33.824397,151.042142
EASTCRK,Eastern Creek,-33.815468,150.854307
EASTCRK2,Eastern Creek 2,-33.815468,150.854307
EDENVSF,Edenvale,-26.931732,150.582727
EILDON,Eildon,-37.221982,145.921476
EILDONPD,Eildon,-37.221774,145.922582
ELAINEBESS,Elaine,-37.734648,144.010291
ELAINEWF,Elaine,-37.6352,144.0237
EMERASF,Emerald,-23.507996,148.126404
ENERGYB,Energy Brix,-38.254444,146.413611
ERARING,Eraring,-33.061039,151.51984
ERB,Eraring,-33.066837,151.515026
ERGT01,Eraring,-33.062117,151.517224
ERB2,Eraring 2,-33.066837,151.515026
FWF,Ferguson,-38.610902,143.179321
FINLEYSF,Finley,-35.648941,145.50575
FISHER,Fisher,-41.673312,146.268511
FLYCRKWF,Flyers Creek,-33.517716,149.052949
FULHAMSF,Fulham,-38.121256,146.973124
GANGARR,Gangarri,-26.270557,149.758054
GANNBESS,Gannawarra,-35.734598,143.779894
GANNSF,Gannawarra,-35.729012,143.783189
GEORGTWN,George Town,-41.091063,146.893204
GERMCRK,German Creek,-22.928526,148.549097
GIRGSF,Girgarre,-36.426125,144.922155
GSTONE,Gladstone,-23.853641,151.217515
GLBWNHYD,Glenbawn,-32.107937,150.999481
GESF,Glenellen,-35.929882,146.909107
GLENMAGG,Glenmaggie,-37.904836,146.800388
GLENNCRK,Glennies Creek,-32.459876,151.128697
GLENSF,Glenrowan,-36.464,146.221
GLRWNSF,Glenrowan West,-36.4907,146.157473
GNARWARREBESS,Gnarwarre,-38.148311,144.139484
GPWBESS,Golden Plains,,
GPWFEST,Golden Plains East,-37.9729,143.783
GPWFWST,Golden Plains West,-37.90844,143.664887
GOONUMSF,Goonumbla,-33.109212,148.092982
GOESF1,Goorambat East,-36.427352,145.918853
GORDON,Gordon,-42.740519,145.982796
GRIVSF,Goulburn River,-32.282141,150.102488
GBESS,Goyder,-33.576364,138.945737
GSWF,Goyder South,-33.682196,138.936249
GRANGEAV,Grange Avenue,-33.713011,150.83316
GRANWF,Granville Harbour,-41.778439,145.065517
GREENB,Greenbank,-27.733562,152.955042
GRIFSF,Griffith,-34.317617,146.121416
GROSV1,Grosvenor 1,-21.929194,148.032416
GROSV2,Grosvenor 2,-21.929194,148.032416
GULLRGWF,Gullen Range,-34.615245,149.45808
GNNDHSF,Gunnedah,-30.937263,150.344174
GUNNING,Gunning,-34.691531,149.373013
GUSF,Gunsynd,-28.408388,150.343437
SNOWY3,Guthega,-36.350097,148.413602
