powerStation,state,postcode,MWCapacity,fuelSource,Accreditation start date,Approval date,inSheet,Committed Date (Month/Year)
"Laura Johnson Home, Townview - Solar w SGU - QLD",QLD,4825.0,0.2265,Solar,2024-10-15,2025-01-13,Approved,
Leppington - Solar - NSW,NSW,2179.0,0.732,Solar,2024-11-22,2025-01-13,Approved,
Quakers Hillside Care Community - Solar w SGU - NSW,NSW,2763.0,0.1996,Solar,2024-12-19,2025-01-13,Approved,
Rest Nominees - Solar wSGU - VIC,VIC,3008.0,0.1188,Solar,2024-09-20,2025-01-13,Approved,
Retail First Mt Ommaney-Solar-QLD,QLD,4074.0,1.0004,Solar,2024-10-29,2025-01-13,Approved,
Woolworths HCFDC Heathwood - Solar - QLD,QLD,4110.0,1.6721,Solar,2024-12-12,2025-01-13,Approved,
Woolworths Kings Meadow 7210 - Solar - TAS,TAS,7249.0,0.2926,Solar,2024-11-18,2025-01-13,Approved,
CLAYTON CHURCH HOMES INC- ELIZABETH PARK - Solar w SGU - SA,SA,5113.0,0.1965,Solar,2024-12-11,2025-01-17,Approved,
Dalwood Children's Home - Solar - NSW,NSW,2092.0,0.2465,Solar,2024-12-19,2025-01-17,Approved,
Haighs Proprietary Limited - Salisbury South - Solar - SA,SA,5106.0,0.6265,Solar,2024-12-27,2025-01-17,Approved,
Lindt & Sprungli (Australia) Pty Ltd - 1017.9kW - Solar w SGU - NSW,NSW,2765.0,1.0179,Solar,2024-12-17,2025-01-17,Approved,
Midfield Trading Solar W SGU-SA,SA,5010.0,0.6443,Solar,2024-11-25,2025-01-17,Approved,
Wilandra Farms Clydebank - Solar - VIC,VIC,3851.0,0.155,Solar,2024-12-20,2025-01-17,Approved,
Balickera WPS - Solar - NSW,NSW,2324.0,3.1158,Solar,2024-11-05,2025-01-20,Approved,
The Creeks Pipeline Company Ltd - Solar - SA,SA,5259.0,2.808,Solar,2024-12-01,2025-01-20,Approved,
Lai Industries - Solar w SGU - SA,SA,5010.0,0.5445,Solar,2024-10-16,2025-01-23,Approved,
CLAYTON CHURCH HOMES INC- Prospect-Solar-W-SGU-SA,SA,5082.0,0.198,Solar,2024-12-11,2025-01-28,Approved,
Kerang Solar Plant - Solar - VIC,VIC,3579.0,37.2874,Solar,2025-01-21,2025-01-28,Approved,
Red Valley Farms - Solar- QLD,QLD,4871.0,0.3801,Solar,2024-11-11,2025-01-28,Approved,
Region Group Warnbro Central - Solar - WA,WA,6169.0,0.5736,Solar,2024-11-21,2025-01-28,Approved,
Southern Steel-Dandenong South - Solar - VIC,VIC,3175.0,0.2,Solar,2024-12-19,2025-01-28,Approved,
Southern Steel-Pooraka - Solar w SGU - SA,SA,5095.0,0.2498,Solar,2024-12-19,2025-01-28,Approved,
CLAYTON CHURCH HOMES INC- Magill-Solar-W-SGU-SA,SA,5072.0,0.2001,Solar,2024-12-11,2025-01-31,Approved,
AU186 Oakdale West 5B - Solar w SGU - NSW,NSW,2178.0,0.15,Solar,2024-12-16,2025-02-04,Approved,
Carosue-Solar-WA,WA,6440.0,8.4637,Solar,2024-12-24,2025-02-10,Approved,
Linfox Regency Park - Solar w SGU - SA,SA,5010.0,0.7002,Solar,2024-12-17,2025-02-10,Approved,
PWR Hybrid Cataby - Solar - WA,WA,6507.0,9.558,Solar,2025-01-08,2025-02-10,Approved,
Blacktown Warehouse 1 - Solar w SGU - NSW,NSW,2148.0,0.1995,Solar,2024-12-17,2025-02-11,Approved,
Blacktown Warehouse 2 - Solar w SGU - NSW,NSW,2148.0,0.1995,Solar,2024-12-17,2025-02-11,Approved,
HCS - Solar - QLD,QLD,4014.0,0.4379,Solar,2024-11-14,2025-02-11,Approved,
Intertek Townsville - Solar  - QLD,QLD,4818.0,0.1815,Solar,2024-10-18,2025-02-11,Approved,
ISLHD-Bulli Hospital - Solar - NSW,NSW,2516.0,0.2805,Solar,2025-01-13,2025-02-11,Approved,
Region Group Treendale - Solar - WA,WA,6233.0,0.3403,Solar,2025-01-28,2025-02-11,Approved,
Woolworths DC Moorebank RDC 7950 - Solar - NSW,NSW,2170.0,2.02,Solar,2024-12-12,2025-02-11,Approved,
Bunnings Padstow - Solar - NSW,NSW,2211.0,0.2799,Solar,2024-11-15,2025-02-19,Approved,
Five Star Seafoods - Solar wSGU  - SA,SA,5291.0,0.1889,Solar,2024-10-14,2025-02-19,Approved,
Morgan Sawmill - Solar w SGU - SA,SA,5491.0,0.1985,Solar,2024-08-13,2025-02-19,Approved,
Northpoint Shopping Centre - Solar -  w SGU - QLD,QLD,4350.0,0.2984,Solar,2024-12-16,2025-02-19,Approved,
Ormeau - Solar w SGU - QLD,QLD,4208.0,0.6588,Solar,2025-01-22,2025-02-19,Approved,
Symbion - Solar - NSW,NSW,2178.0,1.7505,Solar,2025-01-31,2025-02-19,Approved,
AFS Cadell Balranald - Solar - NSW,NSW,2715.0,4.8265,Solar,2024-12-02,2025-02-21,Approved,
AU544 Interlink Estate - Solar - NSW,NSW,2759.0,0.5402,Solar,2024-12-29,2025-02-21,Approved,
BAE Williamtown - Solar - NSW,NSW,2318.0,0.4162,Solar,2025-02-17,2025-02-21,Approved,
Bunnings Greenacre - Solar - NSW,NSW,2190.0,0.2001,Solar,2024-11-15,2025-02-21,Approved,
Caloundra NMI 31173199012 - Solar w SGU - QLD,QLD,4551.0,0.2275,Solar,2025-01-07,2025-02-21,Approved,
HMC Capital Marsden Park - Solar - NSW,NSW,2765.0,0.24,Solar,2025-02-04,2025-02-21,Approved,
HMC Glenmore Park Shopping Centre - Solar - NSW,NSW,2745.0,0.5,Solar,2025-02-06,2025-02-21,Approved,
Lambert Estate Wines Pty Ltd - Solar w SGU - SA,SA,5353.0,0.2232,Solar,2024-12-03,2025-02-21,Approved,
Martin Brower Dandenong - Solar w SGU - VIC,VIC,3175.0,0.6251,Solar,2024-12-20,2025-02-21,Approved,
Mt Annan Christian College - Solar  - NSW,NSW,2567.0,0.2198,Solar,2024-12-05,2025-02-21,Approved,
Scalabrini Chipping Norton - Solar w SGU - NSW,NSW,2170.0,0.335,Solar,2025-02-17,2025-02-21,Approved,
Woolworths Darra 2695 - Solar - QLD,QLD,4076.0,0.2499,Solar,2025-01-20,2025-02-21,Approved,
Woolworths Ingham 2723 - Solar - QLD,QLD,4850.0,0.2751,Solar,2025-02-04,2025-02-21,Approved,
Woolworths Seaford 5646 - Solar - SA,SA,5169.0,0.2751,Solar,2025-02-04,2025-02-21,Approved,
MNCLHD Coffs Harbour Health Campus - Solar w SGU - NSW,NSW,2450.0,1.3226,Solar,2024-11-18,2025-02-24,Approved,
Tip Top Chullora - Solar - NSW,NSW,2190.0,2.0184,Solar,2024-12-20,2025-02-24,Approved,
OZLEMFOODSWA-SOLAR w SGU-QLD,QLD,4207.0,0.4429,Solar,2024-07-12,2025-03-05,Approved,
Somerville Gardens Care Community - Solar w SGU - VIC,VIC,3912.0,0.2403,Solar,2024-12-16,2025-03-06,Approved,
Big W Mildura 560 - Solar - VIC,VIC,3500.0,0.1996,Solar,2025-02-25,2025-03-07,Approved,
Bunnings Maitland - Solar - NSW,NSW,2320.0,0.24,Solar,2025-02-14,2025-03-07,Approved,
Clean Peak Energy - Goulburn Marketplace - Solar - NSW,NSW,2580.0,0.288,Solar,2024-12-17,2025-03-07,Approved,
Covenant Christian School - Solar - w SGU - NSW,NSW,2085.0,0.1812,Solar,2025-02-11,2025-03-07,Approved,
EWH Food Services Kingsgrove - Solar w SGU - NSW,NSW,2208.0,0.3248,Solar,2025-02-11,2025-03-07,Approved,
Frasers Woolworths Liquor Warehouse- Solar w SGU - QLD,QLD,4207.0,0.5005,Solar,2025-02-14,2025-03-07,Approved,
"Scalabrini ""The Village"" Drummoyne - Solar w SGU - NSW",NSW,2047.0,0.235,Solar,2025-02-17,2025-03-07,Approved,
Woolworths Katoomba 1787 - Solar - NSW,NSW,2780.0,0.2751,Solar,2025-02-19,2025-03-07,Approved,
Agile Energy - BWY - 200kW solar w SGU - QLD,QLD,4208.0,0.2,Solar,2025-03-01,2025-03-17,Approved,
Aussie Pride Produce - Solar W SGU - VIC,VIC,3634.0,0.1476,Solar,2024-10-28,2025-03-17,Approved,
Campari - SOLAR w SGU – VIC,VIC,3026.0,0.6498,Solar,2024-10-03,2025-03-17,Approved,
Chep Pallets - Solar - SA,SA,5110.0,0.252,Solar,2024-09-13,2025-03-17,Approved,
"Heidke St, Avoca - Solar w SGU - QLD",QLD,4670.0,0.1975,Solar,2024-10-30,2025-03-17,Approved,
HNELHD Tamworth - Solar - NSW,NSW,2340.0,1.0626,Solar,2025-02-26,2025-03-17,Approved,
ISLHD Shoalhaven Hospital - Solar - NSW,NSW,2541.0,0.5,Solar,2025-02-17,2025-03-17,Approved,
Kingspan Insulated Panels Pty Limited - Solar w SGU - NSW,NSW,2760.0,0.1601,Solar,2024-12-20,2025-03-17,Approved,
Ornatas Tasmanian Lobster Hatchery - Solar  - QLD,QLD,4816.0,0.1584,Solar,2024-09-30,2025-03-17,Approved,
Goyder South Wind Farm 1B - Wind - SA,SA,5417.0,195.693,Wind,2024-11-11,2025-03-27,Approved,
Agile Energy - ECB - 348kW Solar w SGU - NSW,NSW,2250.0,0.3478,Solar,2024-10-01,2025-03-31,Approved,
ATCO Gas Australia Jandakot Microgrid - Solar - WA,WA,6164.0,0.3006,Solar,2021-03-12,2025-03-31,Approved,
Caloundra NMI 3117361486 - Solar w SGU - QLD,QLD,4551.0,0.3476,Solar,2025-03-03,2025-03-31,Approved,
City of Stirling (Administration Centre) – Solar w SGU - WA,WA,6021.0,0.4702,Solar,2024-12-04,2025-03-31,Approved,
Concord Hospital - 313.2kW - Solar w SGU - NSW,NSW,2138.0,0.3135,Solar,2024-11-04,2025-03-31,Approved,
CQFMS - Solar w SGU - QLD,QLD,4740.0,0.3074,Solar,2024-11-29,2025-03-31,Approved,
Mirvac Switchyards Building 2 - Solar w SGU - NSW,NSW,2144.0,0.1998,Solar,2025-03-05,2025-03-31,Approved,
Seaford Central - Solar w SGU - SA,SA,5169.0,0.4647,Solar,2025-02-05,2025-03-31,Approved,
Stockland Rockhampton Shopping Centre - Solar - QLD,QLD,4701.0,2.6733,Solar,2025-01-16,2025-03-31,Approved,
The Good Shepherd Home - Solar w SGU - QLD,QLD,4814.0,0.3136,Solar,2025-02-27,2025-03-31,Approved,
Waverley Valley Care Community - Solar w SGU - VIC,VIC,3150.0,0.1499,Solar,2025-02-19,2025-03-31,Approved,
B&J Greenacre - Solar - NSW,NSW,2190.0,0.3997,Solar,2025-02-28,2025-04-01,Approved,
Bunnings Eastgardens - Solar - NSW,NSW,2036.0,0.3396,Solar,2024-11-15,2025-04-01,Approved,
CH3059 Midwest Logistics Hub (INGH1) - Solar - VIC,VIC,3029.0,0.9996,Solar,2025-03-11,2025-04-01,Approved,
"Macaulay Rd, Kensington - Solar - VIC",VIC,3031.0,0.1982,Solar,2025-03-05,2025-04-01,Approved,
MF Logistics Bvd - Solar - WA,WA,6107.0,0.781,Solar,2024-12-12,2025-04-01,Approved,
Mirvac Switchyards Building 6 - Solar w SGU - NSW,NSW,2144.0,0.1998,Solar,2025-02-25,2025-04-01,Approved,
Oxley Grove Care Community - Solar - QLD,QLD,4077.0,0.2775,Solar,2025-02-19,2025-04-02,Approved,
Stubbo - Solar - NSW,NSW,2852.0,520.3932,Solar,2024-12-20,2025-04-02,Approved,
123 Sippy Downs - Solar - QLD,QLD,4556.0,0.1996,Solar,2025-02-28,2025-04-09,Approved,
Agile Energy - RetireVerge 152kW - Solar w SGU – QLD,QLD,4220.0,0.1524,Solar,2025-01-28,2025-04-09,Approved,
Baked Provisions Sydney - 200.2kW - Solar w SGU - NSW,NSW,2170.0,0.2002,Solar,2025-02-14,2025-04-09,Approved,
Chadstone Freshfood - Solar - VIC,VIC,3145.0,0.733,Solar,2025-03-27,2025-04-09,Approved,
Mcdonald College - Solar w SGU - NSW,NSW,2137.0,0.2526,Solar,2025-03-20,2025-04-09,Approved,
Moe Newborough - Solar w SGU - VIC,VIC,3825.0,0.1891,Solar,2025-01-29,2025-04-09,Approved,
Nepean Hospital - Kingswood - Solar - NSW,NSW,2747.0,0.52,Solar,2025-03-14,2025-04-09,Approved,
PFI Darra-Solar w SGU-QLD,QLD,4076.0,0.246,Solar,2025-01-16,2025-04-09,Approved,
REMONDIS-Tomago-Solar-w SGU-NSW,NSW,2322.0,0.5511,Solar,2025-01-11,2025-04-09,Approved,
Story Fresh Produce - Solar - QLD,QLD,4358.0,0.2006,Solar,2025-03-24,2025-04-09,Approved,
TIP TOP Carrara - Solar wSGU - QLD,QLD,4211.0,0.2205,Solar,2025-03-26,2025-04-09,Approved,
Truganina - Solar - VIC,VIC,3029.0,0.293,Solar,2025-02-26,2025-04-09,Approved,
UPS SCS Australia - Solar w SGU – NSW,NSW,2175.0,0.4002,Solar,2024-12-20,2025-04-09,Approved,
Petstock DC Avalon - Solar - VIC,VIC,3212.0,0.4004,Solar,2025-02-19,2025-04-10,Approved,
REMONDIS-Wingfield-Solar-w SGU-SA,SA,5013.0,0.3969,Solar,2025-01-11,2025-04-10,Approved,
BAE Systems Edinburgh Parks - Solar - SA,SA,5111.0,0.1624,Solar,2025-04-02,2025-04-11,Approved,
Latrobe Leisure Morwell - Solar w SGU- VIC,VIC,3840.0,0.214,Solar,2025-03-24,2025-04-14,Approved,
Acacia Ridge - Solar - QLD,QLD,4110.0,0.444,Solar,2025-02-20,2025-04-15,Approved,
GPE_LYKA WELLNESS - Solar - VIC,VIC,3175.0,0.4994,Solar,2025-04-02,2025-04-15,Approved,
Greenlink 7 - Solar - VIC,VIC,3977.0,0.4196,Solar,2025-02-28,2025-04-15,Approved,
IBIS Care - Solar w SGU - NSW,NSW,2223.0,0.3232,Solar,2025-03-23,2025-04-15,Approved,
Agile Energy - T&P 361kW - Solar w SGU - NSW,NSW,2015.0,0.3608,Solar,2025-01-28,2025-04-17,Approved,
Cairns Colonial Club - Solar - QLD,QLD,4870.0,0.2078,Solar,2025-02-10,2025-04-17,Approved,
CALABRIA FAMILY WINES PTY LTD - Solar w SGU - NSW,NSW,2680.0,1.032,Solar,2025-04-02,2025-04-17,Approved,
Pikes Wines Pty Ltd - Solar w SGU - SA,SA,5453.0,0.1999,Solar,2025-04-01,2025-04-17,Approved,
Region Group Currambine - Solar - WA,WA,6028.0,1.4803,Solar,2025-01-29,2025-04-17,Approved,
Cubbie - Solar - QLD,QLD,4486.0,3.4395,Solar,2025-01-29,2025-04-22,Approved,
DHL Skyline - Solar - NSW,NSW,2171.0,0.9999,Solar,2025-02-25,2025-04-22,Approved,
Hendys Road Numurkah - Solar - VIC,VIC,3636.0,6.1623,Solar,2025-02-04,2025-04-22,Approved,
Woolworths Golden Grove (The Stables) 5632 - Solar - SA,SA,5125.0,0.1998,Solar,2025-03-27,2025-04-22,Approved,
