powerStation,state,postcode,MWCapacity,fuelSource,year,lat,lng
"Laura Johnson Home, Townview",QLD,4825.0,0.2265,Solar,2025.0,-20.7342326,139.5034862
Leppington,NSW,2179.0,0.732,Solar,2025.0,-33.9773022,150.7834354
Quakers Hillside Care Community,NSW,2763.0,0.1996,Solar,2025.0,-33.719511,150.891607
Rest Nominees,VIC,3008.0,0.1188,Solar,2025.0,-36.9847807,143.3906074
Retail First Mt Ommaney,QLD,4074.0,1.0004,Solar,2025.0,-27.5452429,152.9319813
Woolworths HCFDC Heathwood,QLD,4110.0,1.6721,Solar,2025.0,-27.6348312,152.9917087
Woolworths Kings Meadow 7210,TAS,7249.0,0.2926,Solar,2025.0,-41.9609817,147.6479099
CLAYTON CHURCH HOMES INC,SA,5113.0,0.1965,Solar,2025.0,-30.0002315,136.2091547
Dalwood Children's Home,NSW,2092.0,0.2465,Solar,2025.0,-32.6274801,151.4200826
Haighs Proprietary Limited,SA,5106.0,0.6265,Solar,2025.0,-30.0002315,136.2091547
Lindt & Sprungli (Australia) Pty Ltd,NSW,2765.0,1.0179,Solar,2025.0,-31.2532183,146.921099
Midfield Trading Solar W SGU,SA,5010.0,0.6443,Solar,2025.0,-30.0002315,136.2091547
Wilandra Farms Clydebank,VIC,3851.0,0.155,Solar,2025.0,-38.0413887,147.1644309
Balickera WPS,NSW,2324.0,3.1158,Solar,2025.0,-32.660033,151.7971305
The Creeks Pipeline Company Ltd,SA,5259.0,2.808,Solar,2025.0,-35.2964192,139.0414808
Lai Industries,SA,5010.0,0.5445,Solar,2025.0,-30.0002315,136.2091547
CLAYTON CHURCH HOMES INC,SA,5082.0,0.198,Solar,2025.0,-30.0002315,136.2091547
Kerang Solar Plant,VIC,3579.0,37.2874,Solar,2025.0,-35.7350156,143.9202005
Red Valley Farms,QLD,4871.0,0.3801,Solar,2025.0,-15.8501908,144.8558809
Region Group Warnbro Central,WA,6169.0,0.5736,Solar,2025.0,-32.3352786,115.759399
Southern Steel,VIC,3175.0,0.2,Solar,2025.0,-36.9847807,143.3906074
Southern Steel,SA,5095.0,0.2498,Solar,2025.0,-35.1167257,138.4985418
CLAYTON CHURCH HOMES INC,SA,5072.0,0.2001,Solar,2025.0,-30.0002315,136.2091547
AU186 Oakdale West 5B,NSW,2178.0,0.15,Solar,2025.0,-34.0799357,150.5085739
Carosue,WA,6440.0,8.4637,Solar,2025.0,-30.1535719,122.3509579
Linfox Regency Park,SA,5010.0,0.7002,Solar,2025.0,-34.8556017,138.574467
PWR Hybrid Cataby,WA,6507.0,9.558,Solar,2025.0,-30.7358429,115.5402388
Blacktown Warehouse 1,NSW,2148.0,0.1995,Solar,2025.0,-33.7660982,150.9126927
Blacktown Warehouse 2,NSW,2148.0,0.1995,Solar,2025.0,-33.7660982,150.9126927
HCS,QLD,4014.0,0.4379,Solar,2025.0,-22.575197,144.0847926
Intertek Townsville,QLD,4818.0,0.1815,Solar,2025.0,-19.2508005,146.7366226
ISLHD,NSW,2516.0,0.2805,Solar,2025.0,-34.4897544,150.8891201
Region Group Treendale,WA,6233.0,0.3403,Solar,2025.0,-27.6728168,121.6283098
Woolworths DC Moorebank RDC 7950,NSW,2170.0,2.02,Solar,2025.0,-33.9343989,150.9347027
Bunnings Padstow,NSW,2211.0,0.2799,Solar,2025.0,-33.942003,151.035989
Five Star Seafoods,SA,5291.0,0.1889,Solar,2025.0,-38.0521157,140.7014793
Morgan Sawmill,SA,5491.0,0.1985,Solar,2025.0,-33.2022303,138.5729349
Northpoint Shopping Centre,QLD,4350.0,0.2984,Solar,2025.0,-27.5409914,151.9534338
Ormeau,QLD,4208.0,0.6588,Solar,2025.0,-27.7861892,153.2591207
Symbion,NSW,2178.0,1.7505,Solar,2025.0,-33.82294,150.92228
AFS Cadell Balranald,NSW,2715.0,4.8265,Solar,2025.0,-34.72095760000001,143.4989926
AU544 Interlink Estate,NSW,2759.0,0.5402,Solar,2025.0,-31.2532183,146.921099
BAE Williamtown,NSW,2318.0,0.4162,Solar,2025.0,-32.805961,151.837434
Bunnings Greenacre,NSW,2190.0,0.2001,Solar,2025.0,-33.90131909999999,151.0664275
Caloundra NMI 31173199012,QLD,4551.0,0.2275,Solar,2025.0,-26.8043999,153.1254643
HMC Capital Marsden Park,NSW,2765.0,0.24,Solar,2025.0,-33.7121004,150.841952
HMC Glenmore Park Shopping Centre,NSW,2745.0,0.5,Solar,2025.0,-33.7890704,150.668613
Lambert Estate Wines Pty Ltd,SA,5353.0,0.2232,Solar,2025.0,-34.5140317,139.0357497
Martin Brower Dandenong,VIC,3175.0,0.6251,Solar,2025.0,-38.0052446,145.2457329
Mt Annan Christian College,NSW,2567.0,0.2198,Solar,2025.0,-34.0487556,150.7760467
Scalabrini Chipping Norton,NSW,2170.0,0.335,Solar,2025.0,-33.9222641,150.9515568
Woolworths Darra 2695,QLD,4076.0,0.2499,Solar,2025.0,-27.5613337,152.9568256
Woolworths Ingham 2723,QLD,4850.0,0.2751,Solar,2025.0,-18.6510538,146.1568444
Woolworths Seaford 5646,SA,5169.0,0.2751,Solar,2025.0,-35.1870338,138.4801681
MNCLHD Coffs Harbour Health Campus,NSW,2450.0,1.3226,Solar,2025.0,-30.3179835,153.0940034
Tip Top Chullora,NSW,2190.0,2.0184,Solar,2025.0,-33.8939895,151.0449829
OZLEMFOODSWA,QLD,4207.0,0.4429,Solar,2025.0,-22.575197,144.0847926
Somerville Gardens Care Community,VIC,3912.0,0.2403,Solar,2025.0,-38.224962,145.1669677
Big W Mildura 560,VIC,3500.0,0.1996,Solar,2025.0,-34.2084827,142.1421312
Bunnings Maitland,NSW,2320.0,0.24,Solar,2025.0,-32.725282,151.54119
