powerStation,state,postcode,MWCapacity,fuelSource,year
"Laura Johnson Home, Townview",QLD,4825,0.2265,Solar,2025
Leppington,NSW,2179,0.732,Solar,2025
Quakers Hillside Care Community,NSW,2763,0.1996,Solar,2025
Rest Nominees,VIC,3008,0.1188,Solar,2025
Retail First Mt Ommaney,QLD,4074,1.0004,Solar,2025
Woolworths HCFDC Heathwood,QLD,4110,1.6721,Solar,2025
Woolworths Kings Meadow 7210,TAS,7249,0.2926,Solar,2025
CLAYTON CHURCH HOMES INC,SA,5113,0.1965,Solar,2025
Dalwood Children's Home,NSW,2092,0.2465,Solar,2025
Haighs Proprietary Limited,SA,5106,0.6265,Solar,2025
Lindt & Sprungli (Australia) Pty Ltd,NSW,2765,1.0179,Solar,2025
Midfield Trading Solar W SGU,SA,5010,0.6443,Solar,2025
Wilandra Farms Clydebank,VIC,3851,0.155,Solar,2025
Balickera WPS,NSW,2324,3.1158,Solar,2025
The Creeks Pipeline Company Ltd,SA,5259,2.808,Solar,2025
Lai Industries,SA,5010,0.5445,Solar,2025
CLAYTON CHURCH HOMES INC,SA,5082,0.198,Solar,2025
Kerang Solar Plant,VIC,3579,37.2874,Solar,2025
Red Valley Farms,QLD,4871,0.3801,Solar,2025
Region Group Warnbro Central,WA,6169,0.5736,Solar,2025
Southern Steel,VIC,3175,0.2,Solar,2025
Southern Steel,SA,5095,0.2498,Solar,2025
CLAYTON CHURCH HOMES INC,SA,5072,0.2001,Solar,2025
AU186 Oakdale West 5B,NSW,2178,0.15,Solar,2025
Carosue,WA,6440,8.4637,Solar,2025
Linfox Regency Park,SA,5010,0.7002,Solar,2025
PWR Hybrid Cataby,WA,6507,9.558,Solar,2025
Blacktown Warehouse 1,NSW,2148,0.1995,Solar,2025
Blacktown Warehouse 2,NSW,2148,0.1995,Solar,2025
HCS,QLD,4014,0.4379,Solar,2025
Intertek Townsville,QLD,4818,0.1815,Solar,2025
ISLHD,NSW,2516,0.2805,Solar,2025
Region Group Treendale,WA,6233,0.3403,Solar,2025
Woolworths DC Moorebank RDC 7950,NSW,2170,2.02,Solar,2025
Bunnings Padstow,NSW,2211,0.2799,Solar,2025
Five Star Seafoods,SA,5291,0.1889,Solar,2025
Morgan Sawmill,SA,5491,0.1985,Solar,2025
Northpoint Shopping Centre,QLD,4350,0.2984,Solar,2025
Ormeau,QLD,4208,0.6588,Solar,2025
Symbion,NSW,2178,1.7505,Solar,2025
AFS Cadell Balranald,NSW,2715,4.8265,Solar,2025
AU544 Interlink Estate,NSW,2759,0.5402,Solar,2025
BAE Williamtown,NSW,2318,0.4162,Solar,2025
Bunnings Greenacre,NSW,2190,0.2001,Solar,2025
Caloundra NMI 31173199012,QLD,4551,0.2275,Solar,2025
HMC Capital Marsden Park,NSW,2765,0.24,Solar,2025
HMC Glenmore Park Shopping Centre,NSW,2745,0.5,Solar,2025
Lambert Estate Wines Pty Ltd,SA,5353,0.2232,Solar,2025
Martin Brower Dandenong,VIC,3175,0.6251,Solar,2025
Mt Annan Christian College,NSW,2567,0.2198,Solar,2025
Scalabrini Chipping Norton,NSW,2170,0.335,Solar,2025
Woolworths Darra 2695,QLD,4076,0.2499,Solar,2025
Woolworths Ingham 2723,QLD,4850,0.2751,Solar,2025
Woolworths Seaford 5646,SA,5169,0.2751,Solar,2025
MNCLHD Coffs Harbour Health Campus,NSW,2450,1.3226,Solar,2025
Tip Top Chullora,NSW,2190,2.0184,Solar,2025
OZLEMFOODSWA,QLD,4207,0.4429,Solar,2025
Somerville Gardens Care Community,VIC,3912,0.2403,Solar,2025
Big W Mildura 560,VIC,3500,0.1996,Solar,2025
Bunnings Maitland,NSW,2320,0.24,Solar,2025
Clean Peak Energy,NSW,2580,0.288,Solar,2025
Covenant Christian School,NSW,2085,0.1812,Solar,2025
EWH Food Services Kingsgrove,NSW,2208,0.3248,Solar,2025
Frasers Woolworths Liquor Warehouse,QLD,4207,0.5005,Solar,2025
"Scalabrini ""The Village"" Drummoyne",NSW,2047,0.235,Solar,2025
Woolworths Katoomba 1787,NSW,2780,0.2751,Solar,2025
Agile Energy,QLD,4208,0.2,Solar,2025
Aussie Pride Produce,VIC,3634,0.1476,Solar,2025
Campari,VIC,3026,0.6498,Solar,2025
Chep Pallets,SA,5110,0.252,Solar,2025
"Heidke St, Avoca",QLD,4670,0.1975,Solar,2025
HNELHD Tamworth,NSW,2340,1.0626,Solar,2025
ISLHD Shoalhaven Hospital,NSW,2541,0.5,Solar,2025
Kingspan Insulated Panels Pty Limited,NSW,2760,0.1601,Solar,2025
Ornatas Tasmanian Lobster Hatchery,QLD,4816,0.1584,Solar,2025
Goyder South Wind Farm 1B,SA,5417,195.693,Wind,2025
Agile Energy,NSW,2250,0.3478,Solar,2025
ATCO Gas Australia Jandakot Microgrid,WA,6164,0.3006,Solar,2025
Caloundra NMI 3117361486,QLD,4551,0.3476,Solar,2025
City of Stirling (Administration Centre) – Solar w SGU,WA,6021,0.4702,Solar,2025
Concord Hospital,NSW,2138,0.3135,Solar,2025
CQFMS,QLD,4740,0.3074,Solar,2025
Mirvac Switchyards Building 2,NSW,2144,0.1998,Solar,2025
Seaford Central,SA,5169,0.4647,Solar,2025
Stockland Rockhampton Shopping Centre,QLD,4701,2.6733,Solar,2025
The Good Shepherd Home,QLD,4814,0.3136,Solar,2025
Waverley Valley Care Community,VIC,3150,0.1499,Solar,2025
B&J Greenacre,NSW,2190,0.3997,Solar,2025
Bunnings Eastgardens,NSW,2036,0.3396,Solar,2025
CH3059 Midwest Logistics Hub (INGH1),VIC,3029,0.9996,Solar,2025
"Macaulay Rd, Kensington",VIC,3031,0.1982,Solar,2025
MF Logistics Bvd,WA,6107,0.781,Solar,2025
Mirvac Switchyards Building 6,NSW,2144,0.1998,Solar,2025
Oxley Grove Care Community,QLD,4077,0.2775,Solar,2025
Stubbo,NSW,2852,520.3932,Solar,2025
123 Sippy Downs,QLD,4556,0.1996,Solar,2025
Agile Energy,QLD,4220,0.1524,Solar,2025
Baked Provisions Sydney,NSW,2170,0.2002,Solar,2025
Chadstone Freshfood,VIC,3145,0.733,Solar,2025
Mcdonald College,NSW,2137,0.2526,Solar,2025
Moe Newborough,VIC,3825,0.1891,Solar,2025
Nepean Hospital,NSW,2747,0.52,Solar,2025
PFI Darra,QLD,4076,0.246,Solar,2025
REMONDIS,NSW,2322,0.5511,Solar,2025
Story Fresh Produce,QLD,4358,0.2006,Solar,2025
TIP TOP Carrara,QLD,4211,0.2205,Solar,2025
Truganina,VIC,3029,0.293,Solar,2025
UPS SCS Australia,NSW,2175,0.4002,Solar,2025
Petstock DC Avalon,VIC,3212,0.4004,Solar,2025
REMONDIS,SA,5013,0.3969,Solar,2025
BAE Systems Edinburgh Parks,SA,5111,0.1624,Solar,2025
Latrobe Leisure Morwell,VIC,3840,0.214,Solar,2025
Acacia Ridge,QLD,4110,0.444,Solar,2025
GPE_LYKA WELLNESS,VIC,3175,0.4994,Solar,2025
Greenlink 7,VIC,3977,0.4196,Solar,2025
IBIS Care,NSW,2223,0.3232,Solar,2025
Agile Energy,NSW,2015,0.3608,Solar,2025
Cairns Colonial Club,QLD,4870,0.2078,Solar,2025
CALABRIA FAMILY WINES PTY LTD,NSW,2680,1.032,Solar,2025
Pikes Wines Pty Ltd,SA,5453,0.1999,Solar,2025
Region Group Currambine,WA,6028,1.4803,Solar,2025
Cubbie,QLD,4486,3.4395,Solar,2025
DHL Skyline,NSW,2171,0.9999,Solar,2025
Hendys Road Numurkah,VIC,3636,6.1623,Solar,2025
Woolworths Golden Grove (The Stables) 5632,SA,5125,0.1998,Solar,2025
Gregory Hills Hotel,NSW,2557,0.2,Solar,2025
Moyhall,SA,5271,8.2029,Solar,2025
AU371,QLD,4178,0.2912,Solar,2025
Kerarbury Station Almond Orchard,NSW,2706,6.0037,Solar,2025
Steel Building Systems,SA,5113,0.2,Solar,2025
Temperzone,NSW,2148,0.3595,Solar,2025
Cowboys HQ,QLD,4810,0.264,Solar,2025
DUX MANUFACTURING LIMITED,NSW,2577,0.3995,Solar,2025
GPT Highpoint DJ,VIC,3032,0.4698,Solar,2025
Mercy Place Cairns,QLD,4870,0.2789,Solar,2025
Mirani Water Recycling Facility,QLD,4754,0.1703,Solar,2025
OPAL Bankstown Terrace Care Community,NSW,2200,0.2387,Solar,2025
OPAL Berkeley Care Community,NSW,2261,0.1687,Solar,2025
UCS Pakenham,VIC,3810,0.1768,Solar,2025
Armadale Shopping Centre 576kW,WA,6112,0.576,Solar,2025
Armadale Shopping Centre 700kW,WA,6112,0.704,Solar,2025
AU876 Rosehill Industrial Estate,NSW,2142,0.764,Solar,2025
Mayfield Aged Care,NSW,2304,0.1923,Solar,2025
Westrac Tomago,NSW,2322,1.6632,Solar,2025
Wollar Solar Farm,NSW,2850,346.248,Solar,2025
NEUMANN STEEL 1,QLD,4223,1.5172,Solar,2025
St Gregory's College Hall,NSW,2557,0.1993,Solar,2025
St Marys Sewage Treatment,NSW,2760,1.7,Sewage Gas and Biomass-Based Components of Sewage,2025
Wentworthville Leagues Club Ltd,NSW,2145,0.23,Solar,2025
Wentworthville Leagues Club Ltd System 2,NSW,2145,0.23,Solar,2025
Westpork (Moora),WA,6507,0.63,Agricultural Waste,2025
Across The Waves Sports Club Bundaberg,QLD,4670,0.4499,Solar,2025
HomeCo Toowoomba,QLD,4350,0.14,Solar,2025
HomeCo Upper Coomera,QLD,4209,0.23,Solar,2025
PLASTIC SOLUTIONS,VIC,3179,0.3586,Solar,2025
Clarke Creek Wind Farm,QLD,4705,450.0,Wind,2025
Big Dog Pet Foods,QLD,4504,0.6618,Solar,2025
Doomadgee Solar Farm Stage 2,QLD,4830,0.304,Solar,2025
MOKOAN SOLAR FARM,VIC,3673,57.803,Solar,2025
Plainland,QLD,4341,0.4279,Solar,2025
Homeco Tingalpa,QLD,4173,0.204,Solar,2025
Palmerston Golf & Country Club,NT,830,0.1998,Solar,2025
Tip Top Dry Creek,SA,5094,0.9176,Solar,2025
Woolworths Kingston 7003,TAS,7050,0.3375,Solar,2025
Americold Hemmant 2,QLD,4174,0.3107,Solar,2025
Brisbane Lions,QLD,4300,0.7987,Solar,2025
Cairns Aquarium,QLD,4870,0.4001,Solar,2025
Clean Peak Energy,NSW,2830,0.3704,Solar,2025
CSIRO,ACT,2620,1.2689,Solar,2025
HomeCo Keysborough,VIC,3173,0.1518,Solar,2025
STM Smeaton Grange – Solar w SGU – NSW,NSW,2567,0.2328,Solar,2025
The Big Banana Coffs Harbour,NSW,2450,0.1269,Solar,2025
Uniting Farmborough,NSW,2526,0.1499,Solar,2025
Synnex Australia,NSW,2141,0.4735,Solar,2025
Associated Grains Dalby,QLD,4405,0.3483,Solar,2025
Clean Peak Energy,NSW,2731,7.5275,Solar,2025
Kootingal Solar Farm,NSW,2352,6.048,Solar,2025
IBIS,QLD,4876,0.151,Solar,2025
Puopolo Smallgoods,VIC,3026,0.3089,Solar,2025
Alsco Salisbury,QLD,4107,0.3001,Solar,2025
Bunnings Penrith,NSW,2750,0.37,Solar,2025
Cherry Lane,VIC,3026,0.4196,Solar,2025
Coolaroo,VIC,3048,0.7004,Solar,2025
"CVAS, Clarenza",NSW,2460,0.1936,Solar,2025
DMK,WA,6166,0.1956,Solar,2025
Macathur Square,NSW,2560,4.5417,Solar,2025
Powerhouse Museum,NSW,2154,0.8012,Solar,2025
Region Group Kwinana 1,WA,6167,1.1908,Solar,2025
Riverwood CCP,NSW,2210,0.1255,Solar,2025
Sydney City Toyota Waterloo,NSW,2017,0.4541,Solar,2025
Timberjack 10 International Square,VIC,3043,0.2357,Solar,2025
Timberjack 11 International Square,VIC,3043,0.1732,Solar,2025
Timberjack Bliss Court Derrimut,VIC,3026,0.6201,Solar,2025
Uppal Produce,VIC,3616,0.1496,Solar,2025
Koorelah Farms,QLD,4805,0.4061,Solar,2025
Woolworths Norwest Circa 1422,NSW,2153,0.3001,Solar,2025
Ashburton Aboriginal Corporation,WA,6751,0.7268,Solar,2025
Bunnings Nunawading,VIC,3131,0.26,Solar,2025
Eastern Creek,NSW,2766,4.268,Landfill Gas,2025
Gunnedah 2A Solar Farm,NSW,2380,6.048,Solar,2025
Hemmant 1+3 Lineage Logistics,QLD,4174,1.518,Solar,2025
Raymond Terrace,NSW,2324,0.2224,Solar,2025
Scalabrini Griffith,NSW,2680,0.2195,Solar,2025
Wambo Wind Farm Stage 1,QLD,4410,252.0,Wind,2025
Woolworths Merimbula 1250,NSW,2548,0.3656,Solar,2025
SH LEASEHOLD PTY LTD,SA,5096,0.198,Solar,2025
GPE_DB Santasalo,NSW,2516,0.5323,Solar,2025
Kwinana WTE,WA,6167,42.0,Biomass-Based Components of Municipal Solid Waste,2025
Murrumbidgee,NSW,2716,7.125,Solar,2025
PCCS,NSW,2486,0.1795,Solar,2025
Region Group Kwinana 2,WA,6167,1.1899,Solar,2025
Bunnings Mentone,VIC,3194,0.1802,Solar,2025
Equinex SY9,NSW,2142,0.4904,Solar,2025
HomeCo Braybrook,VIC,3019,0.14,Solar,2025
HomeCo Bundall,QLD,4217,0.33,Solar,2025
Bunnings Lawnton,QLD,4501,0.1599,Solar,2025
Omya Bajool,QLD,4699,0.546,Solar,2025
Bunnings Alexandria,NSW,2015,0.456,Solar,2025
"Chisholm Rd, Auburn",NSW,2144,0.2069,Solar,2025
Hillwood Berries,QLD,4670,0.2679,Solar,2025
Bunnings Hoppers Crossing,VIC,3029,0.1802,Solar,2025
Energy Bay,NSW,2179,0.4385,Solar,2025
GPE SURYA ENTERPRISES GOLD COAST,VIC,3925,0.1989,Solar,2025
Greentech 7 Solar Farm & BESS,VIC,3380,8.5068,Solar,2025
Minter Magic Packing Shed Iraak,VIC,3494,0.1998,Solar,2025
Seventh,NSW,2147,0.1544,Solar,2025
Treeby Parklands Care Community,WA,6164,0.2296,Solar,2025
Western Port Bay Care Community,VIC,3913,0.1997,Solar,2025
Bunnings Ballarat,VIC,3350,0.1802,Solar,2025
Goodman AU702 Axle West,NSW,2766,0.655,Solar,2025
Pillow Talk Darra – Solar wSGU – Qld,QLD,4076,0.3998,Solar,2025
SOC Osborne Park,WA,6017,0.2996,Solar,2025
Temora 1C Solar Farm,NSW,2666,6.1212,Solar,2025
Harvey Norman Maroochydore Homemaker,QLD,4558,0.4536,Solar,2025
Spreyton,TAS,7310,0.1743,Solar,2025
AU254 M7 BH,NSW,2766,0.4378,Solar,2025
House Power North Maroochydore Homemaker,QLD,4558,0.203,Solar,2025
House Power South Maroochydore Homemaker,QLD,4558,0.1873,Solar,2025
Culcairn Solar Farm,NSW,2660,439.8689,Solar,2025
Domayne Maroochydore Homemaker,QLD,4558,0.203,Solar,2025
GRAC,VIC,3844,0.3045,Solar,2025
Greenlink 6,VIC,3977,0.4385,Solar,2025
HomeCo Hawthorn East,VIC,3123,0.2,Solar,2025
