facilityName,type,state,electricityProductionMwh,scope1tCO2e,scope2tCO2e,totalEmissionstCO2e,emissionIntensitytMwh,primaryFuel,year,lat,lng
Gunning Wind Farm,F,NSW,157700.0,19.0,293.0,312,0.0,Wind,2015,-34.6905625,149.4270092
Royalla Solar Farm,F,ACT,59199.0,0.0,15.0,15,0.0,Solar,2015,-35.4897929,149.1430018
Waubra Wind Farm,F,VIC,683834.0,77.0,1144.0,1221,0.0,Wind,2015,-37.3946388,143.6386011
Banimboola Hydro,F,VIC,38082.0,5.0,17.0,22,0.0,Hydro,2015,-36.5335771,147.4603458
Bayswater Power Station,F,NSW,13965430.0,12253123.0,8306.0,12261429,0.88,Black Coal,2015,-32.3838413,150.9522752
Bogong Power Station,F,VIC,74144.0,83.0,839.0,922,0.0,Hydro,2015,-36.8057885,147.2281158
Burrendong Hydro,F,NSW,7619.0,1.0,97.0,98,0.0,Hydro,2015,-32.68234,149.169464
Clover Hydro,F,VIC,42047.0,3.0,51.0,54,0.0,Hydro,2015,-36.9847807,143.3906074
Coopers Cogeneration,F,SA,25463.0,19260.0,86.0,19346,0.76,Gas,2015,-30.0002315,136.2091547
Copeton Hydro,F,NSW,38829.0,1.0,75.0,76,0.0,Hydro,2015,-29.8861564,150.8934134
Dartmouth Hydro,F,VIC,446691.0,0.0,727.0,727,0.0,Hydro,2015,-36.5324694,147.4961766
Eildon Hydro,F,VIC,197317.0,20.0,153.0,173,0.0,Hydro,2015,-37.2341601,145.9083365
Glenbawn Hydro,F,NSW,11737.0,0.0,16.0,16,0.0,Hydro,2015,-32.1080329,150.985732
Glenorchy Landfill Generation,F,TAS,11977.0,745.0,1.0,746,0.06,Landfill Gas,2015,-42.833056,147.275833
Hallett (Stage 1) Wind Farm,F,SA,315741.0,135.0,217.0,352,0.0,Wind,2015,-33.4113253,138.8927621
Hallett (Stage 2) Wind Farm,F,SA,238477.0,85.0,187.0,272,0.0,Wind,2015,-33.4113253,138.8927621
Hallett (Stage 4) Wind Farm,F,SA,428809.0,133.0,360.0,493,0.0,Wind,2015,-33.4113253,138.8927621
Hallett (Stage 5) Wind Farm,F,SA,135847.0,75.0,175.0,250,0.0,Wind,2015,-33.4113253,138.8927621
Hobart Landfill Generation,F,TAS,7604.0,427.0,0.0,427,0.06,Landfill Gas,2015,-42.8826055,147.3257196
Hunter Valley Gas Turbines,F,NSW,250.0,355.0,869.0,1224,1.42,Gas,2015,-32.1932173,151.700565
Kincumber Landfill Generation,F,NSW,4059.0,238.0,5.0,243,0.06,Landfill Gas,2015,-33.4689844,151.3898882
Liddell Power Station,F,NSW,6906736.0,6514993.0,46355.0,6561348,0.94,Black Coal,2015,-32.4115859,150.9970294
Loy Yang Power Station and Mine,F,VIC,16226412.0,18508708.0,268516.0,18777224,1.14,Brown Coal,2015,-38.2537069,146.5756631
Macarthur Wind Farm,F,VIC,997152.0,371.0,2655.0,3026,0.0,Wind,2015,-38.0490795,142.1915163
McKay Creek Hydro,F,VIC,88209.0,0.0,6185.0,6185,0.0,Hydro,2015,-36.8584393,147.2349767
Moranbah Power Station,F,QLD,23031.0,12327.0,1142.0,13469,0.54,Coal Seam Methane,2015,-22.0060858,148.0398332
Nyngan Solar Plant,F,NSW,9380.0,9.0,59.0,68,0.0,Solar,2015,-31.5662057,147.0707349
Oaklands Hill Wind Farm,F,VIC,146261.0,68.0,637.0,705,0.0,Wind,2015,-37.683252,142.551115
Rockingham Landfill Generation,F,WA,21490.0,1320.0,6.0,1326,0.06,Landfill Gas,2015,-32.2780969,115.7351399
Rubicon Hydro Scheme,F,VIC,46446.0,0.0,47.0,47,0.0,Hydro,2015,-37.32715779999999,145.8605406
Shoalhaven Landfill Generation,F,NSW,5483.0,356.0,8.0,364,0.06,Landfill Gas,2015,-35.0810677,150.4892292
Somerton Power Station,F,VIC,10464.0,8378.0,2036.0,10414,0.8,Gas,2015,-37.6314781,144.9529872
