facility_name,facility_code,lat,lng,state,fuel_list
Angaston,ANGASTON,-34.503948,139.024296,SA,"['Liquid Fuel', 'Diesel']"
Anglesea,APS,-38.389031,144.180589,VIC,['Brown Coal']
Appin,APPIN,-34.210868,150.792711,NSW,"['Coal Seam Methane', 'Waste Coal Mine Gas']"
Avonlie,AVLSF,-34.919115,146.60954,NSW,['Solar']
Awaba,AWABAREF,-33.023339,151.551228,NSW,['Landfill Gas']
Bairnsdale,DEIBDL,-37.842231,147.563725,VIC,['Gas']
Baking Board,BAKING,-26.721166,150.55417,QLD,['Solar']
Bald Hills,BHWF,-38.758189,145.956062,VIC,['Wind']
Ballarat,BALBESS,-37.567452,143.852741,VIC,"['Landfill Gas', 'Solar', 'Solar', 'Solar']"
Bango,BANGOWF,-34.767208,148.921499,NSW,['Wind']
Banimboola,BAPS,-36.534524,147.459788,VIC,['Hydro']
Bannerton,BANNSP,-34.67263,142.750362,VIC,['Solar']
Barcaldine,BARCALDN,-23.552171,145.314851,QLD,"['Gas', 'Solar']"
Barcaldine,BARCSF,-23.547333,145.318972,QLD,"['Gas', 'Solar']"
Barker Inlet,BARKIPS,-34.804,138.524,SA,['Gas']
Barron Gorge,BARRON,-16.85077,145.647049,QLD,['Hydro']
Bastyan,BASTYAN,-41.736231,145.531589,TAS,['Hydro']
Bayswater,BAYSW,-32.393502,150.953963,NSW,['Black Coal']
Bell Bay,BBDISEL1,-41.127009,146.874083,TAS,['Gas']
Bell Bay,BELLBAY,-41.141944,146.9025,TAS,['Gas']
Berrybank,BRYB1WF1,-37.980741,143.472217,VIC,['Wind']
Berwick,BERWICK,-37.940819,145.236257,VIC,['Landfill Gas']
Beryl,BERYLSF,-32.347501,149.460738,NSW,['Solar']
Biala,BIALAWF,-34.587836,149.369848,NSW,['Wind']
Blayney,BLAYNEY,-33.621944,149.198333,NSW,['Wind']
Boco Rock,BOCOROCK,-36.574527,149.124863,NSW,['Wind']
Bodangora,BODWF,-32.407128,149.04133,NSW,['Wind']
Bolivar,BOLIVAR,-34.495482,138.387641,SA,['Gas']
Bolivar,BOLIVPS,-34.7772,138.5826,SA,['Gas']
Bomen,BOMENSF,-35.0486,147.4439,NSW,['Solar']
Braemar,BRAEMARA,-27.111669,150.907647,QLD,['Coal Seam Methane']
Braemar 2,B2PS,-27.109873,150.907653,QLD,['Coal Seam Methane']
Broadmeadows,BROADMDW,-37.685081,144.966114,VIC,['Landfill Gas']
Broadwater,BWTR1,-29.016483,153.445756,NSW,"['Bagasse', 'Wood']"
Broken Hill,BHILLGT,-31.986313,141.42062,NSW,"['Solar', 'Diesel']"
Broken Hill,BROKENH,-31.988905,141.391547,NSW,"['Solar', 'Diesel']"
