powerStation,state,postcode,MWCapacity,fuelSource,Accreditation start date,Approval date,inSheet,Committed Date (Month/Year)
DONS FORT - SOLAR W SGU - QLD,QLD,4660.0,0.4209,Solar,2025-10-21,2026-01-06,Approved,
Mintus Coles - Solar w SGU- NSW,NSW,2153.0,0.1903,Solar,2025-12-09,2026-01-06,Approved,
Ventora - Acacia Ridge - Solar - QLD,QLD,4110.0,0.1624,Solar,2025-11-17,2026-01-06,Approved,
Bayside Aged Care - Solar - Morisset - NSW,NSW,2264.0,0.1397,Solar,2025-12-16,2026-01-08,Approved,
Matrix Composites and Engineering Pty Ltd - Solar - WA,WA,6166.0,0.8496,Solar,2025-12-17,2026-01-08,Approved,
Accensi Narangba - Solar - QLD,QLD,4504.0,0.1994,Solar,2025-11-24,2026-01-09,Approved,
Bunge Port Giles - Solar - SA,SA,5583.0,0.4779,Solar,2025-12-11,2026-01-16,Approved,
HBF Stadium Carpark 4 PV System - Solar w SGU - WA,WA,6010.0,0.2585,Solar,2025-09-10,2026-01-16,Approved,
Stockland M-park Building C - Solar - NSW,NSW,2113.0,0.1251,Solar,2025-11-06,2026-01-16,Approved,
Waverley Gardens - Solar w SGU - VIC,VIC,3170.0,0.5207,Solar,2025-10-03,2026-01-20,Approved,
The Barracks - Solar w SGU - QLD,QLD,4000.0,0.3021,Solar,2025-11-21,2026-01-21,Approved,
Altona Stage 1 & BESS - Solar - Vic,VIC,3018.0,1.1788,Solar,2025-12-12,2026-01-22,Approved,
Tabbita-Solar-NSW,NSW,2652.0,7.1568,Solar,2025-11-07,2026-01-22,Approved,
CLV GUV Village - Solar w SGU - QLD,QLD,4215.0,0.2475,Solar,2025-09-16,2026-01-23,Approved,
BAULKHAM HILLS - SOLAR W SGU - NSW,NSW,2153.0,0.2275,Solar,2025-10-16,2026-01-27,Approved,
RAAFA (ARK) - Solar - WA,WA,6149.0,0.2999,Solar,2025-08-25,2026-01-27,Approved,
CHARTER HALL-CL3030 DRYSTONE-SOLAR-VIC,VIC,3029.0,0.223,Solar,2025-11-26,2026-01-29,Approved,
Leppington BP 3 & BESS - Solar w SGU - NSW,NSW,2179.0,0.7834,Solar,2025-10-03,2026-01-29,Approved,
Woolworths CFC Adelaide 8849 - Solar - SA,SA,5035.0,0.3297,Solar,2025-12-10,2026-01-29,Approved,
Yumbah Aquaculture Ltd - Solar - SA,SA,5223.0,0.7524,Solar,2026-01-16,2026-01-29,Approved,
40 Cameron Ave - Solar - ACT,ACT,2617.0,0.1848,Solar,2025-12-12,2026-02-11,Approved,
BC Westcourt - Solar - QLD,QLD,4870.0,0.1999,Solar,2026-01-23,2026-02-11,Approved,
Bunnings Carseldine - Solar - QLD,QLD,4036.0,0.3801,Solar,2026-02-04,2026-02-11,Approved,
Goodman AU744 Lawrence & Hanson - Solar - VIC,VIC,3194.0,0.101,Solar,2025-11-20,2026-02-11,Approved,
Porsche Centre Parramatta - Solar - NSW,NSW,2142.0,0.0396,Solar,2025-11-04,2026-02-11,Approved,
UA Aldergate Village - Solar - TAS,TAS,7248.0,0.4788,Solar,2026-01-16,2026-02-11,Approved,
BC Parkinson - Solar w SGU - QLD,QLD,4115.0,0.166,Solar,2025-11-27,2026-02-19,Approved,
BC Sunnybank Hills - Solar - QLD,QLD,4109.0,0.0489,Solar,2025-12-12,2026-02-19,Approved,
Martin Brower North Brisbane - Solar -QLD,QLD,4008.0,0.526,Solar,2025-08-07,2026-02-19,Approved,
Real Juice - Solar WSGU - NSW,NSW,2680.0,0.4898,Solar,2025-10-08,2026-02-19,Approved,
Shellharbour Retail Centre & BESS - Solar - NSW,NSW,2529.0,0.4385,Solar,2026-02-06,2026-02-20,Approved,
BC Murrumba Downs - Solar - QLD,QLD,4503.0,0.0127,Solar,2025-12-08,2026-02-24,Approved,
CleanPeak Energy - 8 Acacia Place - Solar - VIC,VIC,3168.0,0.308,Solar,2025-12-19,2026-02-24,Approved,
Glen Innes-Solar-NSW,NSW,2370.0,6.9944,Solar,2025-12-24,2026-02-25,Approved,
"Tweed City Shopping Centre, Tweed Heads South - Solar - NSW",NSW,2486.0,1.9028,Solar,2026-01-19,2026-02-25,Approved,
BC Bundaberg - Solar - QLD,QLD,4670.0,0.0657,Solar,2025-12-08,2026-02-26,Approved,
Leppington BP 1 & BESS - Solar - NSW,NSW,2179.0,0.7315,Solar,2025-10-03,2026-03-04,Approved,
Summergold - Wind w SGU- WA,WA,6507.0,1.9728,Wind,2026-02-01,2026-03-04,Approved,
Sunshine Coast Airport - Solar - QLD,QLD,4564.0,0.1902,Solar,2026-01-23,2026-03-04,Approved,
Bundaberg Solar Farm - Solar - QLD,QLD,4671.0,96.0537,Solar,2026-01-15,2026-03-05,Approved,
Golden Plains Wind Farm West - Wind - Vic,VIC,3352.0,576.6,Wind,2026-01-28,2026-03-05,Approved,
Laucke Mills - Solar - SA,SA,5355.0,1.311,Solar,2025-10-16,2026-03-11,Approved,
AU923 Redbank Weedman Street - Solar W SGU - QLD,QLD,4301.0,0.3748,Solar,2026-02-20,2026-03-16,Approved,
Ingleburn Logistics Park WH1 & BESS - Solar - NSW,NSW,2565.0,0.7304,Solar,2026-02-23,2026-03-16,Approved,
Romsey Community Aged Care - Solar w SGU - VIC,VIC,3434.0,0.1998,Solar,2026-03-11,2026-03-16,Approved,
ALBION PARK - Solar w SGU - NSW,NSW,2527.0,0.2223,Solar,2026-01-29,2026-03-20,Approved,
Australian Stockman's Hall of Fame - Solar w SGU - QLD,QLD,4730.0,0.3906,Solar,2026-02-11,2026-03-20,Approved,
Broadsound Solar Farm Pty Ltd-Solar-QLD,QLD,4705.0,377.4347,Solar,2025-12-13,2026-03-20,Approved,
Bunnings Frenchs Forest - Solar - NSW,NSW,2086.0,0.4805,Solar,2025-12-10,2026-03-20,Approved,
Homeco Coomera City Centre - Solar w SGU - QLD,QLD,4209.0,0.45,Solar,2026-03-12,2026-03-20,Approved,
Central Plaza - Solar w SGU - SA,SA,5000.0,0.22,Solar,2025-12-12,2026-03-23,Approved,
HomeCo Mackay A - Solar - QLD,QLD,4740.0,0.3502,Solar,2026-03-12,2026-03-23,Approved,
Woolworths Sarina 2518 - Solar - QLD,QLD,4737.0,0.2006,Solar,2026-03-11,2026-03-23,Approved,
