powerStation,state,postcode,MWCapacity,fuelSource,year
DONS FORT,QLD,4660,0.4209,Solar,2026
Mintus Coles,NSW,2153,0.1903,Solar,2026
Ventora,QLD,4110,0.1624,Solar,2026
Bayside Aged Care,NSW,2264,0.1397,Solar,2026
Matrix Composites and Engineering Pty Ltd,WA,6166,0.8496,Solar,2026
Accensi Narangba,QLD,4504,0.1994,Solar,2026
Bunge Port Giles,SA,5583,0.4779,Solar,2026
HBF Stadium Carpark 4 PV System,WA,6010,0.2585,Solar,2026
Stockland M,NSW,2113,0.1251,Solar,2026
Waverley Gardens,VIC,3170,0.5207,Solar,2026
The Barracks,QLD,4000,0.3021,Solar,2026
Altona Stage 1 & BESS,VIC,3018,1.1788,Solar,2026
Tabbita,NSW,2652,7.1568,Solar,2026
CLV GUV Village,QLD,4215,0.2475,Solar,2026
BAULKHAM HILLS,NSW,2153,0.2275,Solar,2026
RAAFA (ARK),WA,6149,0.2999,Solar,2026
CHARTER HALL,VIC,3029,0.223,Solar,2026
Leppington BP 3 & BESS,NSW,2179,0.7834,Solar,2026
Woolworths CFC Adelaide 8849,SA,5035,0.3297,Solar,2026
Yumbah Aquaculture Ltd,SA,5223,0.7524,Solar,2026
40 Cameron Ave,ACT,2617,0.1848,Solar,2026
BC Westcourt,QLD,4870,0.1999,Solar,2026
Bunnings Carseldine,QLD,4036,0.3801,Solar,2026
Goodman AU744 Lawrence & Hanson,VIC,3194,0.101,Solar,2026
Porsche Centre Parramatta,NSW,2142,0.0396,Solar,2026
UA Aldergate Village,TAS,7248,0.4788,Solar,2026
BC Parkinson,QLD,4115,0.166,Solar,2026
BC Sunnybank Hills,QLD,4109,0.0489,Solar,2026
Martin Brower North Brisbane,QLD,4008,0.526,Solar,2026
Real Juice,NSW,2680,0.4898,Solar,2026
Shellharbour Retail Centre & BESS,NSW,2529,0.4385,Solar,2026
BC Murrumba Downs,QLD,4503,0.0127,Solar,2026
CleanPeak Energy,VIC,3168,0.308,Solar,2026
Glen Innes,NSW,2370,6.9944,Solar,2026
"Tweed City Shopping Centre, Tweed Heads South",NSW,2486,1.9028,Solar,2026
BC Bundaberg,QLD,4670,0.0657,Solar,2026
Leppington BP 1 & BESS,NSW,2179,0.7315,Solar,2026
Summergold,WA,6507,1.9728,Wind,2026
Sunshine Coast Airport,QLD,4564,0.1902,Solar,2026
Bundaberg Solar Farm,QLD,4671,96.0537,Solar,2026
Golden Plains Wind Farm West,VIC,3352,576.6,Wind,2026
Laucke Mills,SA,5355,1.311,Solar,2026
AU923 Redbank Weedman Street,QLD,4301,0.3748,Solar,2026
Ingleburn Logistics Park WH1 & BESS,NSW,2565,0.7304,Solar,2026
Romsey Community Aged Care,VIC,3434,0.1998,Solar,2026
ALBION PARK,NSW,2527,0.2223,Solar,2026
Australian Stockman's Hall of Fame,QLD,4730,0.3906,Solar,2026
Broadsound Solar Farm Pty Ltd,QLD,4705,377.4347,Solar,2026
Bunnings Frenchs Forest,NSW,2086,0.4805,Solar,2026
Homeco Coomera City Centre,QLD,4209,0.45,Solar,2026
Central Plaza,SA,5000,0.22,Solar,2026
HomeCo Mackay A,QLD,4740,0.3502,Solar,2026
Woolworths Sarina 2518,QLD,4737,0.2006,Solar,2026
Agright Griffith Carrathool,NSW,2711,0.472,Solar,2026
HomeCo Mackay B,QLD,4740,0.2306,Solar,2026
Woolworths Calderwood Village Centre 1051,NSW,2527,0.2418,Solar,2026
Woolworths Lisarow 1574,NSW,2250,0.2694,Solar,2026
BC Bongaree,QLD,4507,0.1388,Solar,2026
La Salle College PV System,WA,6056,0.1993,Solar,2026
Midkin Solar Farm,NSW,2400,5.301,Solar,2026
Monarto Energy Project,SA,5254,6.6886,Solar,2026
Westfield Chatswood and Dougherty Centre,NSW,2067,0.1352,Solar,2026
Conga foods Yennora,NSW,2161,0.8782,Solar,2026
Fletcher Dandenong,VIC,3175,0.5428,Solar,2026
Uniting Starrett Lodge,NSW,2259,0.1955,Solar,2026
Woolworths Doolandella 2938,QLD,4077,0.2438,Solar,2026
AU866 Translink,NSW,2019,0.1996,Solar,2026
The Gables Retail Centre & BESS,NSW,2765,0.5374,Solar,2026
Willawong Warehouse 1 & BESS,QLD,4110,0.5841,Solar,2026
AU470 Airgate,NSW,2020,0.2,Solar,2026
Costa Monarto,SA,5254,1.1865,Solar,2026
Exmouth,WA,6707,9.8522,Solar,2026
Fletcher Building Wendouree,VIC,3355,1.2001,Solar,2026
Agile Energy,QLD,4701,0.2897,Solar,2026
EQT Marsden Park,NSW,2765,0.5005,Solar,2026
Geraldton Airport Microgrid,WA,6532,0.8424,Solar,2026
Woolworths Banora Point 2641,NSW,2486,0.2587,Solar,2026
Bridgewest Perth Pharma,WA,6102,1.0004,Solar,2026
Woolworths Beechboro 4384,WA,6063,0.275,Solar,2026
Clean Peak Energy,NSW,2652,8.2286,Solar,2026
Goorambat East Solar Farm,VIC,3725,319.7785,Solar,2026
Goulburn Community SF & BESS,NSW,2580,1.3863,Solar,2026
Melbourne Business Park & BESS,VIC,3029,0.705,Solar,2026
Tamworth,NSW,2340,7.0087,Solar,2026
WesTrac PDC South Guildford,WA,6055,0.9955,Solar,2026
East Rockingham Resource Recovery Facility,WA,,29.0,Biomass,2019
Mangalore Renewable Energy Project,VIC,,5.0,Solar,2021
Orange Community Renewable Energy Park,NSW,,5.0,Solar,2022
Moorebank Logistics Park,NSW,,60.0,Solar,2022
Kidston Pumped Hydro Storage Project,QLD,,250.0,Hydro,2023
New England Solar Farm,NSW,,320.0,Solar,2023
Forest Glen Solar Farm,NSW,,90.0,Solar,2023
Uungula Wind Farm,NSW,,414.0,Wind,2024
St Ives Gold Solar Farm,WA,,77.0,Wind,2024
Quorn Park Solar Hybrid,NSW,,98.0,Solar,2024
Lotus Creek Wind Farm,QLD,,285.0,Wind,2024
Boulder Creek Wind Farm,QLD,,228.0,Wind,2024
Horsham Solar Farm,VIC,,118.8,Solar,2024
Goulburn River Solar Farm,NSW,,450.0,Solar,2024
Wambo Wind Farm Stage 2,QLD,,254.0,Wind,2024
Warradarge Wind Farm Stage 2,WA,,108.0,Wind,2024
Bungama Solar Farm (stage 3),SA,,280.0,Solar,2025
Maryvale Solar Farm,NSW,,172.0,Solar,2025
Lancaster Solar Farm,VIC,,106.0,Solar,2025
Fulham Solar Farm,VIC,,80.0,Solar,2025
Cloudbreak Solar Farm,WA,,190.0,Solar,2025
Port Latta Wind Farm,TAS,,25.0,Wind,2025
Wandoan South Solar Farm (Stage 2),QLD,,240.0,Solar,2025
Mulwala Solar Farm,NSW,,31.0,Solar,2025
Wathagar Solar NSW (Stage 2),NSW,,27.0,Solar,2025
King Rocks Wind Farm,WA,,105.0,Wind,2025
Blind Creek Solar Farm,NSW,,300.0,Solar,2025
Waddi Wind Farm,WA,,108.0,Wind,2025
Carmody's Hill Wind Farm,SA,,247.0,Wind,2025
Delburn Wind Farm,VIC,,205.0,Wind,2025
Palmer Wind Farm,SA,,288.0,Wind,2026
Nullagine Wind Farm,WA,,133.0,Wind,2026
Dunedoo Solar Farm,NSW,,55.0,Solar,2026
Project Helios,WA,,30.0,Solar,2026
Solomon Airport Solar Farm,WA,,440.0,Solar,2026
Project Jinbi Solar Farm,WA,,75.0,Solar,2026
Muswellbrook Solar Farm,NSW,,135.0,Solar,2026
Guthrie's Gap Solar Power Station,QLD,,300.0,Solar,2026
Smoky Creek Solar Power Station,QLD,,300.0,Solar,2026
Turner River Solar Hub,WA,,690.0,Solar,2026
Yanco Delta Wind Farm,NSW,,1500.0,Wind,
Baldon Wind Farm,NSW,,1400.0,Wind,
Bungaban Wind Farm,QLD,,1400.0,Wind,
Theodore Wind Farm,QLD,,1152.0,Wind,
Upper Calliope Solar Farm,QLD,,1100.0,Solar,
Bullawah Wind Farm,NSW,,1000.0,Wind,
Tathra Wind Farm,WA,,1000.0,Wind,
Valley of the Winds,NSW,,936.0,Wind,
Dinawan Solar Farm,NSW,,800.0,Solar,
Bulli Creek Solar project Stage 1,QLD,,775.0,Solar,
Clarke Creek Wind Farm Stage 2,QLD,,704.0,Wind,
Sandy Creek Solar Farm,NSW,,700.0,Solar,
Spicers Creek Wind Farm,NSW,,700.0,Wind,
Liverpool Range Wind Stage 1,NSW,,634.0,Wind,
Birriwa Solar and Battery Project,NSW,,600.0,Solar,
Hexham Wind Farm,VIC,,600.0,Wind,
Kentbruck Green Power Hub,VIC,,600.0,Wind,
Whyte Yarcowie Wind Farm,SA,,600.0,Wind,
Junction Rivers Wind Farm,NSW,,585.0,Wind,
Marri Wind Farm,WA,,550.0,Wind,
Tallawang Solar Farm,NSW,,500.0,Solar,
Yathroo Wind Farm,WA,,500.0,Wind,
Parron Maam Marang Farm,WA,,490.0,Wind,
Merino Solar Farm,NSW,,450.0,Solar,
Willatook Wind Farm,VIC,,450.0,Wind,
Corop Solar Farm,VIC,,440.0,Solar,
Tarong West Wind Project,QLD,,436.5,Wind,
Boddington Giga Energy,WA,,400.0,Solar,
Punchs Creek Solar Farm,QLD,,400.0,Solar,
Gawara Baya Wind Farm,QLD,,399.0,Wind,
Gundary Solar Farm,NSW,,380.0,Solar,
Middlebrook Solar Farm,NSW,,363.0,Solar,
Moah Creek Wind Farm,QLD,,360.0,Wind,
Dinawan Wind Farm Stage 1,NSW,,357.0,Wind,
Cellars Hill Wind Farm,TAS,,350.0,Wind,
Eurimbula Solar Farm,QLD,,350.0,Solar,
Killawarra Hybrid Project,WA,,350.0,Wind,
Mount Hopeful Wind Farm,QLD,,350.0,Wind,
Goyder North Wind Farm Stage 1,SA,,300.0,Wind,
Nowingi Solar Power Station,VIC,,300.0,Solar,
Port Augusta Energy Park Stage 2,SA,,300.0,Solar,
West Mokoan Solar Farm,VIC,,300.0,Solar,
Northern Midlands Solar Farm,TAS,,288.0,Solar,
Coppabella Wind Farm,NSW,,284.0,Wind,
Lower Wonga Solar Farm project,QLD,,281.0,Solar,
Banana Range Wind Farm,QLD,,280.0,Wind,
Wattle Creek Solar Farm,NSW,,265.0,Solar,
Kalgoorlie Regional Renewable Energy Project (Wind),WA,,256.0,Wind,
Bendemeer Energy Hub,NSW,,252.0,Solar,
Barwon Solar Farm,VIC,,250.0,Solar,
Gunning Solar Farm,NSW,,250.0,Solar,
Hopeland Solar Farm,QLD,,250.0,Solar,
Weasel Solar Farm,TAS,,250.0,Solar,
Bundey Solar Farm,SA,,240.0,Solar,
Kondinin Wind Farm,WA,,230.0,Wind,
Thunderbolt Wind Farm stage 1,NSW,,230.0,Wind,
Bell Bay Wind Farm,TAS,,224.0,Wind,
Campbells Forest Solar Farm,VIC,,205.0,Solar,
Narrogin Wind Farm,WA,,200.0,Wind,
Ganymirra Solar Power Station,QLD,,150.0,Solar,
Kiamal Solar Farm,VIC,,150.0,Solar,
Majors Creek Solar Farm,QLD,,150.0,Solar,
Kalgoorlie Regional Renewable Energy Project (Solar),WA,,138.0,Solar,
Elaine Solar Farm,VIC,,125.0,Solar,
Kidston Stage 3 Wind Project,QLD,,120.0,Wind,
Silverleaf Solar Farm,NSW,,120.0,Solar,
Willogoleche 2 Wind Farm,SA,,108.0,Wind,
Bullyard Solar Farm,QLD,,100.0,Solar,
Kayuga Solar Farm,NSW,,100.0,Solar,
Lakeland Wind Farm,QLD,,100.0,Wind,
Winton North Solar Farm,VIC,,100.0,Solar,
Derby Solar Farm & Battery,VIC,,95.0,Solar,
Moranbah Solar Farm,QLD,,90.0,Solar,
Frasers Solar Farm,VIC,,77.0,Solar,
Binningup Solar Facility,WA,,75.0,Solar,
Woolsthorpe Wind Farm,VIC,,70.0,Wind,
Collie Solar and Battery Project,WA,,66.0,Solar,
Barnawartha Solar Farm,VIC,,64.0,Solar,
Vales Point Solar Farm,NSW,,62.0,Solar,
Glanmire Solar Farm,NSW,,60.0,Solar,
Laceby Solar Farm,VIC,,60.0,Solar,
