facility_code,facility_name,lat,lng,timestamp,power_value,emission_value,price_per_mwh,demand_mw,state,fuel_list
CANUNDA1,Canunda,-37.698303,140.383633,2025-10-24T13:15:00,3.6042,0.0,137.316,20951.32,SA,['Wind']
CAPBES,Capital,-35.339434,149.216065,2025-10-24T13:15:00,78.8,0.0,137.316,20951.32,NSW,"['Solar', 'Wind', 'Solar', 'Solar']"
CAPTL_WF,Capital,-35.123534,149.500249,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,NSW,"['Solar', 'Wind', 'Solar', 'Solar']"
CATHROCK,Cathedral Rocks,-34.848741,135.592649,2025-10-24T13:15:00,37.8,0.0,137.316,20951.32,SA,['Wind']
CETHANA,Cethana,-41.479852,146.134472,2025-10-24T13:15:00,92.7957,0.0,137.316,20951.32,TAS,['Hydro']
CHALLWF,Challicum Hills,-37.395466,143.10459,2025-10-24T13:15:00,4.5,0.0,137.316,20951.32,VIC,['Wind']
CHBESS,Chinchilla,-26.918551,150.745399,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,QLD,['Battery']
CHILDSF,Childers,-25.295027,152.403674,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,QLD,['Solar']
CHYTWF,Cherry Tree,-37.1018,145.2656,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,VIC,['Wind']
CLARESF,Clare,-19.83977,147.21055,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,QLD,"['Solar', 'Solar']"
CLEMGPWF,Clements Gap,-33.489773,138.111695,2025-10-24T13:15:00,8.212,0.0,137.316,20951.32,SA,['Wind']
CLERMSF,Clermont,-22.839406,147.546031,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,QLD,['Solar']
CLOVER,Clover,-36.78515,147.219517,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,VIC,['Hydro']
CLRKCWF,Clarke Creek,-22.850446,149.453252,2025-10-24T13:15:00,274.0948,0.0,137.316,20951.32,QLD,"['Wind', 'Wind']"
CLUNY,Cluny,-42.506229,146.681123,2025-10-24T13:15:00,17.8068,0.0,137.316,20951.32,TAS,['Hydro']
COHUNSF1,Cohuna,-35.880317,144.221531,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,VIC,['Solar']
COLONGRA,Colongra,-33.208781,151.54354,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,NSW,['Gas']
COLUMSF,Columboola,-26.636088,150.28221,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,QLD,['Solar']
COLWF01,Collector,-34.823879,149.396795,2025-10-24T13:15:00,5.8656,0.0,137.316,20951.32,NSW,"['Solar', 'Wind']"
CONDONG1,Condong,-28.314766,153.433808,2025-10-24T13:15:00,23.07,0.0712,137.316,20951.32,NSW,"['Bagasse', 'Wood']"
COOPGWF,Coopers Gap,-26.717004,151.449177,2025-10-24T13:15:00,312.7,0.0,137.316,20951.32,QLD,['Wind']
CROOKWF2,Crookwell 2,-34.547676,149.589254,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,NSW,['Wind']
CROOKWF3,Crookwell 3,-34.484645,149.54447,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,NSW,['Wind']
CROWLWF,Crowlands,-36.97615,143.097998,2025-10-24T13:15:00,3.5041,0.0,137.316,20951.32,VIC,['Wind']
CRURWF1,Crudine Ridge,-32.864748,149.81297,2025-10-24T13:15:00,0.7987000000000001,0.0,137.316,20951.32,NSW,['Wind']
CRWASF1,Corowa,-35.98629,146.361456,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,NSW,['Solar']
CSPVPS,Collinsville,-20.55714,147.820552,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,QLD,['Solar']
CTHLWF,Cattle Hill,-42.154845,146.694693,2025-10-24T13:15:00,113.2433,0.0,137.316,20951.32,TAS,['Wind']
CULLERIN,Cullerin Range,-34.750995,149.381027,2025-10-24T13:15:00,1.93,0.0,137.316,20951.32,NSW,['Wind']
DARLSF,Darlington Point,-34.644808,146.035756,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,NSW,['Solar']
DARTM,Dartmouth,-36.55529,147.519872,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,VIC,['Hydro']
DDPS1,Darling Downs,-27.116851,150.895391,2025-10-24T13:15:00,477.4402,19.8026,137.316,20951.32,QLD,"['Gas', 'Solar', 'Wind']"
